Winner,Clay
Nadal R.,7
Federer R.,6
Djokovic N.,5
Monfils G.,5
Gulbis E.,4
Gonzalez F.,4
Ferrer D.,4
Almagro N.,4
Benneteau J.,3
Mathieu P.H.,3
Chardy J.,3
Ginepri R.,3
Ljubicic I.,3
Llodra M.,3
Stepanek R.,3
Verdasco F.,3
Wawrinka S.,2
Lapentti N.,2
Tursunov D.,2
Serra F.,2
Schwank E.,2
Melzer J.,2
Murray A.,2
Soderling R.,2
Nieminen J.,2
Odesnik W.,2
Robredo T.,2
Hewitt L.,2
Youzhny M.,2
Davydenko N.,2
Bolelli S.,2
Ancic M.,2
Cilic M.,1
Reynolds B.,1
Chela J.I.,1
Safin M.,1
Santoro F.,1
Capdeville P.,1
Blake J.,1
Nalbandian D.,1
Berdych T.,1
Andujar P.,1
Vanek J.,1
Vassallo-Arguello M.,1
Andreev I.,1
Daniel M.,1
Granollers M.,1
Hanescu V.,1
Garcia-Lopez G.,1
Hernandez O.,1
Gonzalez M.,1
Horna L.,1
Junqueira D.,1
Gicquel M.,1
Lee H.T.,1
Fish M.,1
Decoud S.,1
Lopez-Jaen M.A.,1
Marrero D.,1
Falla A.,1
Devilder N.,1
Del Potro J.M.,1
Montanes A.,1
Acasuso J.,1
