Winner,Hard
Djokovic N.,6
Fish M.,6
Haas T.,4
Wawrinka S.,4
Nadal R.,4
Federer R.,4
Lee H.T.,3
Blake J.,3
Nalbandian D.,3
Young D.,2
Tsonga J.W.,2
Murray A.,2
Mahut N.,2
Ljubicic I.,2
Hewitt L.,2
Ancic M.,2
Gasquet R.,2
Canas G.,2
Ferrero J.C.,2
Gicquel M.,1
Seppi A.,1
Cilic M.,1
Odesnik W.,1
Querrey S.,1
Robredo T.,1
Rochus O.,1
Sela D.,1
Soderling R.,1
Simon G.,1
Ferrer D.,1
Stepanek R.,1
Chela J.I.,1
Tursunov D.,1
Verdasco F.,1
Bjorkman J.,1
Youzhny M.,1
Davydenko N.,1
Monaco J.,1
Moya C.,1
Karlovic I.,1
Giraldo S.,1
Gulbis E.,1
Haase R.,1
Hanescu V.,1
Garcia-Lopez G.,1
Isner J.,1
Johansson T.,1
Kohlschreiber P.,1
Ginepri R.,1
Baghdatis M.,1
Fognini F.,1
Malisse X.,1
Massu N.,1
Mathieu P.H.,1
Melzer J.,1
Mirnyi M.,1
de Voest R.,1
