,player,passed_at_net,net_pts,passing_shot
0,Alexander Bublik,72,376,19.148936170212767
1,Novak Djokovic,56,418,13.397129186602871
2,Stefanos Tsitsipas,94,769,12.22366710013004
3,Dominic Thiem,39,327,11.926605504587156
4,Dustin Brown,46,414,11.11111111111111
5,Roger Federer,116,1088,10.661764705882353
6,Denis Shapovalov,33,327,10.091743119266056
7,Ivo Karlovic,51,592,8.614864864864865
8,Hubert Hurkacz,38,460,8.26086956521739
9,Robin Haase,30,377,7.957559681697612
10,Milos Raonic,37,466,7.939914163090128
