Winner,Grass
Kerber A.,10
Barty A.,10
Buzarnescu M.,9
Sabalenka A.,7
Ostapenko J.,7
Vekic D.,7
Goerges J.,7
Kasatkina D.,7
Wozniacki C.,6
Maria T.,6
Krunic A.,6
Strycova B.,6
Kvitova P.,6
Van Uytvanck A.,6
Williams S.,6
Konta J.,6
Osaka N.,6
Cibulkova D.,5
Rybarikova M.,5
Hsieh S.W.,5
Radwanska A.,5
Riske A.,5
Sevastova A.,5
Flipkens K.,5
Pliskova Ka.,5
Bertens K.,5
Giorgi C.,5
Mladenovic K.,4
Safarova L.,4
Kenin S.,4
Jakupovic D.,4
Bencic B.,4
Stosur S.,4
Mertens E.,4
Lottner A.,3
Sasnovich A.,3
Gavrilova D.,3
Makarova E.,3
Boulter K.,3
Kuzmova V.,3
Rodina E.,3
Tomljanovic A.,3
Tsurenko L.,3
Vandeweghe C.,3
Siniakova K.,2
Svitolina E.,2
Suarez Navarro C.,2
Keys M.,2
Garcia C.,2
Halep S.,2
Wickmayer Y.,2
Peterson R.,2
Muguruza G.,2
Barthel M.,2
Kontaveit A.,2
Williams V.,2
Arruabarrena L.,2
Azarenka V.,2
Lapko V.,2
Collins D.R.,2
Kudermetova V.,2
Diatchenko V.,2
Stollar F.,1
Petkovic A.,1
Pavlyuchenkova A.,1
Jabeur O.,1
Schoofs B.,1
Putintseva Y.,1
Sorribes Tormo S.,1
Martic P.,1
Kanepi K.,1
Liu C.,1
Rus A.,1
Kumkhum L.,1
Kuznetsova S.,1
Larsson J.,1
Hercog P.,1
Falconi I.,1
Witthoeft C.,1
Brengle M.,1
Watson H.,1
Cornet A.,1
Brady J.,1
Dart H.,1
Bouchard E.,1
Bondarenko K.,1
Diyas Z.,1
Blinkova A.,1
Duan Y.Y.,1
Dulgheru A.,1
Cirstea S.,1
Swan K.,1
Allertova D.,1
Tomova V.,1
Vickery S.,1
Townsend T.,1
Zheng S.,1
Frech M.,1
Zhang S.,0
Xun F.Y.,0
Perrin C.,0
Zidansek T.,0
Zhuk S.,0
Zhu L.,0
Yastremska D.,0
Zhang Yux.,0
Zanevska M.,0
Puig M.,0
Potapova A.,0
Podoroska N.,0
Plipuech P.,0
Rodionova Ar.,0
Pliskova Kr.,0
Zavatska K.,0
Zarazua R.,0
Wang Yaf.,0
Rogowska O.,0
Ruse E.G.,0
Stephens S.,0
Teichmann J.,0
Teichmann J.B.,0
Thandi K.,0
Siegemund L.,0
Vesnina E.,0
Sharipova S.,0
Vikhlyantseva N.,0
Sharapova M.,0
Seguel D.,0
Vinci R.,0
Voegele S.,0
Schnyder P.,0
Schmiedlova A.,0
Sanchez A.S.,0
Sakkari M.,0
Von Deichmann K.,0
Vondrousova M.,0
Wang Q.,0
Wang Xiy.,0
Wang Y.,0
Pera B.,0
Rybakina E.,0
Perez E.,0
Abanda F.,0
Peng S.,0
Haddad Maia B.,0
Dodin O.,0
Doi M.,0
Dolehide C.,0
Duque-Marino M.,0
Errani S.,0
Fernandez L.,0
Ferro F.,0
Fett J.,0
Flink V.,0
Fourlis J.,0
Friedsam A.L.,0
Garcia Perez G.,0
Gasparyan M.,0
Gibbs N.,0
Glushko J.,0
Golubic V.,0
Govortsova O.,0
Di Lorenzo F.,0
Davis L.,0
Danilovic O.,0
Begu I.,0
Alexandrova E.,0
Anisimova A.,0
Arango E.,0
Babos T.,0
Bacsinszky T.,0
Badosa Gibert P.,0
Bara I.,0
Bellis C.,0
Collins D.,0
Bogdan A.,0
Bonaventure Y.,0
Bouzkova M.,0
Broady N.,0
Cepede Royg V.,0
Cepelova J.,0
Chang K.C.,0
Grammatikopoulou V.,0
Han X.,0
Pegula J.,0
Herazo Gonzalez M.,0
Ahn K.,0
Lepchenko V.,0
Liang E.S.,0
Linette M.,0
Lisicki S.,0
Liu F.,0
Lu Jing-Jing,0
Lucic-Baroni M.,0
Marino R.,0
Martincova T.,0
Mattek-Sands B.,0
Mchale C.,0
Minella M.,0
Muchova K.,0
Niculescu M.,0
Paolini J.,0
Parmentier P.,0
Kucova K.,0
Krejcikova B.,0
Kratzer A.,0
Kerkhove L.,0
Hibino N.,0
Hon P.,0
Hozumi E.,0
Ivakhnenko V.,0
Jani R.L.,0
Jorovic I.,0
Kalinina A.,0
Khazaniuk D.,0
Kozlova K.,0
Kiick A.,0
King V.,0
Konjuh A.,0
Korpatsch T.,0
Kostova E.,0
Kostyuk M.,0
Kovinic D.,0
Zvonareva V.,0
