Winner,Clay
Halep S.,15
Bertens K.,15
Buzarnescu M.,14
Mertens E.,14
Garcia C.,13
Sevastova A.,13
Kvitova P.,13
Kontaveit A.,12
Stephens S.,12
Kasatkina D.,12
Pliskova Ka.,11
Sharapova M.,11
Pliskova Kr.,10
Begu I.,10
Goerges J.,10
Hercog P.,10
Keys M.,10
Cornet A.,10
Giorgi C.,9
Gavrilova D.,9
Parmentier P.,9
Stosur S.,9
Svitolina E.,9
Larsson J.,9
Wozniacki C.,9
Kerber A.,8
Sakkari M.,8
Pavlyuchenkova A.,8
Zhang S.,8
Arruabarrena L.,8
Tsurenko L.,8
Siniakova K.,7
Voegele S.,7
Martic P.,7
Schmiedlova A.,7
Barty A.,7
Flipkens K.,7
Muguruza G.,7
Siegemund L.,7
Krunic A.,6
Pera B.,6
Putintseva Y.,6
Vekic D.,6
Sasnovich A.,6
Hsieh S.W.,6
Sorribes Tormo S.,5
Errani S.,5
Vondrousova M.,5
Vandeweghe C.,5
Tomljanovic A.,5
Wang Q.,5
Zidansek T.,5
Cibulkova D.,5
Cirstea S.,5
Osaka N.,5
Danilovic O.,5
Mladenovic K.,4
Rus A.,4
Sabalenka A.,4
Riske A.,4
Minella M.,4
Barthel M.,4
Potapova A.,4
Suarez Navarro C.,4
Korpatsch T.,4
Peterson R.,4
Diyas Z.,4
Bogdan A.,4
Stollar F.,4
Konta J.,3
Kuznetsova S.,3
Ostapenko J.,3
Paolini J.,3
Kudermetova V.,3
Rodina E.,3
Lapko V.,3
Jakupovic D.,3
Rybarikova M.,3
Mchale C.,3
Vikhlyantseva N.,3
Cepede Royg V.,3
Vesnina E.,3
Bouchard E.,3
Van Uytvanck A.,3
Williams S.,3
Strycova B.,3
Zavatska K.,2
Frech M.,2
Fett J.,2
Watson H.,2
Kuzmova V.,2
Dulgheru A.,2
Linette M.,2
Wang Yaf.,2
Dolehide C.,2
Kozlova K.,2
Liu C.,2
Townsend T.,2
Collins D.,2
Maria T.,2
Ivakhnenko V.,2
Petkovic A.,2
Kovinic D.,2
Safarova L.,2
Kostova E.,2
Jabeur O.,2
Zarazua R.,2
Seguel D.,2
Puig M.,2
Badosa Gibert P.,2
Babos T.,2
Arango E.,2
Kanepi K.,2
Bara I.,2
Rybakina E.,1
Von Deichmann K.,1
Rodionova Ar.,1
Zanevska M.,1
Teichmann J.B.,1
Tomova V.,1
Schnyder P.,1
Peng S.,1
Podoroska N.,1
Mattek-Sands B.,1
Williams V.,1
Perrin C.,1
Ruse E.G.,1
Zvonareva V.,1
Duque-Marino M.,1
Lepchenko V.,1
Blinkova A.,1
Kostyuk M.,1
Bencic B.,1
Grammatikopoulou V.,1
Herazo Gonzalez M.,1
Garcia Perez G.,1
Brady J.,1
Ahn K.,1
Bondarenko K.,1
Azarenka V.,1
Brengle M.,1
Allertova D.,1
Flink V.,1
Lottner A.,1
Ferro F.,1
Jani R.L.,1
Haddad Maia B.,1
Alexandrova E.,1
Makarova E.,1
Golubic V.,1
Chang K.C.,0
Collins D.R.,0
Diatchenko V.,0
Dart H.,0
Davis L.,0
Di Lorenzo F.,0
Dodin O.,0
Thandi K.,0
Doi M.,0
Teichmann J.,0
Swan K.,0
Cepelova J.,0
Martincova T.,0
Vickery S.,0
Broady N.,0
Zhuk S.,0
Zhu L.,0
Zheng S.,0
Zhang Yux.,0
Anisimova A.,0
Bacsinszky T.,0
Yastremska D.,0
Xun F.Y.,0
Bellis C.,0
Witthoeft C.,0
Wickmayer Y.,0
Bonaventure Y.,0
Wang Y.,0
Wang Xiy.,0
Duan Y.Y.,0
Bouzkova M.,0
Vinci R.,0
Boulter K.,0
Friedsam A.L.,0
Falconi I.,0
Fernandez L.,0
Kiick A.,0
King V.,0
Konjuh A.,0
Plipuech P.,0
Kratzer A.,0
Krejcikova B.,0
Kucova K.,0
Perez E.,0
Kumkhum L.,0
Pegula J.,0
Liang E.S.,0
Lisicki S.,0
Liu F.,0
Niculescu M.,0
Lu Jing-Jing,0
Muchova K.,0
Lucic-Baroni M.,0
Khazaniuk D.,0
Kerkhove L.,0
Radwanska A.,0
Govortsova O.,0
Fourlis J.,0
Marino R.,0
Sharipova S.,0
Gasparyan M.,0
Gibbs N.,0
Glushko J.,0
Schoofs B.,0
Sanchez A.S.,0
Kenin S.,0
Han X.,0
Hibino N.,0
Hon P.,0
Hozumi E.,0
Rogowska O.,0
Jorovic I.,0
Kalinina A.,0
Abanda F.,0
