Winner,Clay
Almagro N.,32
Nadal R.,25
Ferrer D.,22
Andujar P.,22
Chela J.I.,19
Djokovic N.,19
Fognini F.,17
Montanes A.,17
Starace P.,17
Mayer F.,16
Dolgopolov O.,15
Giraldo S.,14
Simon G.,14
Bellucci T.,14
Granollers M.,14
Soderling R.,13
Lopez F.,13
Cilic M.,13
Hanescu V.,13
Federer R.,12
Volandri F.,12
Murray A.,12
Robredo T.,12
Verdasco F.,12
Ferrero J.C.,11
Gasquet R.,11
Monaco J.,11
Haase R.,11
Wawrinka S.,11
Monfils G.,10
Berlocq C.,10
Kubot L.,9
Del Potro J.M.,9
Youzhny M.,9
Berdych T.,9
Stakhovsky S.,9
Riba P.,9
Cuevas P.,8
Ramos A.,8
Davydenko N.,8
Garcia-Lopez G.,8
Seppi A.,8
Melzer J.,8
Ljubicic I.,7
Troicki V.,7
Gil F.,7
Nishikori K.,7
Gimeno-Traver D.,7
Raonic M.,7
Kavcic B.,7
Souza J.,7
Kohlschreiber P.,7
Andreev I.,6
Stepanek R.,6
Nieminen J.,6
Tsonga J.W.,6
Fish M.,5
Haider-Maurer A.,5
Anderson K.,5
Sweeting R.,5
Zeballos H.,5
Mello R.,5
Tipsarevic J.,5
Malisse X.,4
Stebe C.M.,4
Petzschner P.,4
Berrer M.,4
Ramirez-Hidalgo R.,4
Dodig I.,4
Benneteau J.,4
Chardy J.,4
Falla A.,4
Mayer L.,4
Gabashvili T.,4
Ramos-Vinolas A.,3
Dimitrov G.,3
Gulbis E.,3
Reister J.,3
Nalbandian D.,3
Gonzalez M.,3
Rosol L.,3
Kamke T.,3
Devvarman S.,3
Del Bonis F.,3
Llodra M.,3
Machado R.,3
Veic A.,3
Baghdatis M.,3
Karlovic I.,3
Kuznetsov An.,2
Acasuso J.,2
Junqueira D.,2
Rochus O.,2
Vagnozzi S.,2
Ungur A.,2
Cervenak P.,2
Darcis S.,2
Schwank E.,2
Ryderstedt M.,2
Paire B.,2
Roger-Vasselin E.,2
Giannessi A.,2
Querrey S.,2
Ilhan M.,2
Isner J.,2
Istomin D.,2
Mannarino A.,2
Robert S.,1
Rufin G.,1
Naso G.,1
Navarro-Pastor I.,1
Schoorel T.,1
Serra F.,1
Sousa J.,1
Teixeira M.,1
Olaso G.,1
Zampieri C.,1
Zverev M.,1
Bolelli S.,1
Knittel B.,1
De Bakker T.,1
Crivoi V.,1
Copil M.,1
Clement A.,1
Cipolla F.,1
Brzezicki J.P.,1
Gonzalez F.,1
Gonzalez S.,1
Gremelmayr D.,1
Brown D.,1
Greul S.,1
Blake J.,1
Dasnieres de Veigy J.,1
Lu Y.H.,1
Luczak P.,1
Kunitsyn I.,1
Kukushkin M.,1
Lorenzi P.,1
Bachinger M.,1
Marchenko I.,1
Dabul B.,0
Zhang Z.,0
Soeda G.,0
Beck K.,0
Dancevic F.,0
Chiudinelli M.,0
Sugita Y.,0
Bubka S.,0
Zemlja G.,0
Thiem D.,0
Sock J.,0
Wolmarans F.,0
Becker B.,0
Yani M.,0
Tomic B.,0
Brands D.,0
Bozoljac I.,0
Tursunov D.,0
Udomchoke D.,0
Smyczek T.,0
Bogomolov A.,0
Van Der Merwe I.,0
Young D.,0
Berankis R.,0
Bemelmans R.,0
Wang J.,0
Ward J.,0
Bedene A.,0
Marti J.,0
Schuettler R.,0
Sijsling I.,0
Hewitt L.,0
Huta Galung J.,0
Przysiezny M.,0
Pospisil V.,0
Phau B.,0
Ito T.,0
Jaziri M.,0
Kendrick R.,0
Kosakowski D.,0
Kudla D.,0
Kudryavtsev A.,0
Lajovic D.,0
Muller G.,0
Lammer M.,0
Lisnard J.R.,0
Mahut N.,0
Ram R.,0
Hernych J.,0
De Voest R.,0
Harrison R.,0
Sela D.,0
Duclos P.L.,0
Matosevic M.,0
Dutra Da Silva R.,0
Ebden M.,0
Russell M.,0
Ginepri R.,0
Goffin D.,0
Golubev A.,0
Rodrigues M.,0
Roddick A.,0
Rieschick S.,0
Renavand N.,0
Guccione C.,0
Haas T.,0
Lacko L.,0
