,player,passed_at_net,net_pts,passing_shot
0,Diego Schwartzman,7,44,15.909090909090908
1,Jenson Brooksby,11,78,14.102564102564102
2,Tallon Griekspoor,6,50,12.0
3,Novak Djokovic,18,154,11.688311688311687
4,Jannik Sinner,5,44,11.363636363636363
5,Daniil Medvedev,10,98,10.204081632653061
6,Felix Auger Aliassime,7,70,10.0
7,Botic Van De Zandschulp,27,291,9.278350515463918
8,Stefanos Tsitsipas,7,88,7.954545454545454
9,Roberto Bautista Agut,3,47,6.382978723404255
10,Carlos Alcaraz,2,47,4.25531914893617
