,player,pts_won,net_pts,net_efficiency
0,Rafael Nadal,316,423,74.70449172576832
1,Marin Cilic,153,207,73.91304347826086
2,Roger Federer,894,1223,73.09893704006541
3,Milos Raonic,171,241,70.95435684647303
4,Novak Djokovic,282,399,70.67669172932331
5,John Isner,251,356,70.50561797752809
6,Juan Martin Del Potro,369,532,69.3609022556391
7,Borna Coric,137,207,66.18357487922705
8,Ivo Karlovic,157,242,64.87603305785123
9,Karen Khachanov,143,223,64.12556053811659
10,Nick Kyrgios,145,248,58.46774193548387
