Winner,Grass
Djokovic N.,7
Federer R.,6
Nadal R.,5
Bautista Agut R.,5
Nishikori K.,4
Goffin D.,4
Pella G.,4
Querrey S.,4
Raonic M.,3
Paire B.,3
Humbert U.,3
Sandgren T.,3
Sousa J.,3
Berrettini M.,3
Kukushkin M.,3
Verdasco F.,3
Millman J.,2
Auger-Aliassime F.,2
Medvedev D.,2
Anderson K.,2
Opelka R.,2
Johnson S.,2
Schwartzman D.,2
Struff J.L.,2
Tsonga J.W.,2
Vesely J.,2
Pouille L.,2
Khachanov K.,2
Hurkacz H.,2
Evans D.,2
Fabbiano T.,2
Fognini F.,2
Isner J.,1
Popyrin A.,1
Darcis S.,1
Cuevas P.,1
Rublev A.,1
Clarke J.,1
Cilic M.,1
Seppi A.,1
Simon G.,1
Chardy J.,1
Berankis R.,1
Tipsarevic J.,1
Basilashvili N.,1
Barrere G.,1
Baghdatis M.,1
De Minaur A.,1
Edmund K.,1
Djere L.,1
Norrie C.,1
Moutet C.,1
Fritz T.,1
Fucsovics M.,1
Mayer L.,1
Lopez F.,1
Kyrgios N.,1
Granollers M.,1
Kudla D.,1
Koepfer D.,1
Haase R.,1
Kecmanovic M.,1
Karlovic I.,1
Wawrinka S.,1
