,player,pts_won,net_pts,net_efficiency
0,Jannik Sinner,19,22,86.36363636363636
1,Grigor Dimitrov,75,88,85.22727272727273
2,Andy Murray,25,31,80.64516129032258
3,Sebastian Korda,16,20,80.0
4,Dominic Thiem,30,39,76.92307692307693
5,Alex De Minaur,16,21,76.19047619047619
6,Alejandro Davidovich Fokina,15,20,75.0
7,Stefanos Tsitsipas,15,22,68.18181818181817
8,Hubert Hurkacz,56,91,61.53846153846154
9,Daniil Medvedev,12,20,60.0
10,Ben Shelton,14,26,53.84615384615385
11,Nicolas Jarry,10,21,47.61904761904761
