Winner,Hard
Pennetta F.,7
Vinci R.,6
Williams S.,5
Halep S.,5
Williams V.,4
Mladenovic K.,4
Kvitova P.,4
Azarenka V.,4
Lepchenko V.,3
Keys M.,3
Konta J.,3
Kontaveit A.,3
Lisicki S.,3
Makarova E.,3
Bouchard E.,3
Stosur S.,3
Kasatkina D.,2
Rogers S.,2
Mattek-Sands B.,2
Radwanska A.,2
Schmiedlova A.,2
Petkovic A.,2
Kerber A.,2
Strycova B.,2
Barthel M.,2
Bencic B.,2
Brengle M.,2
Cetkovska P.,2
Cibulkova D.,2
Errani S.,2
Duque Marino M.,2
Svitolina E.,2
Pavlyuchenkova A.,1
Wickmayer Y.,1
Rodina E.,1
Wang Q.,1
Vesnina E.,1
Vandeweghe C.,1
Tsurenko L.,1
Tatishvili A.,1
Smitkova T.,1
Pegula J.,1
Allertova D.,1
Ostapenko J.,1
Govortsova O.,1
Bertens K.,1
Bondarenko K.,1
Davis L.,1
Dodin O.,1
Doi M.,1
Falconi I.,1
Gibbs N.,1
Giorgi C.,1
Hercog P.,1
Niculescu M.,1
Jovanovski B.,1
Kanepi K.,1
Knapp K.,1
Konjuh A.,1
Kovinic D.,1
Linette M.,1
Muguruza G.,1
Nara K.,1
Wozniacki C.,1
