Winner,Hard
Williams S.,7
Sharapova M.,6
Makarova E.,5
Keys M.,5
Williams V.,4
Halep S.,4
Bouchard E.,4
Cibulkova D.,4
Peng S.,3
Muguruza G.,3
Goerges J.,3
Wickmayer Y.,3
Radwanska A.,3
Azarenka V.,3
Brengle M.,3
Begu I.,3
Cornet A.,2
Hradecka L.,2
Pliskova Ka.,2
Bacsinszky T.,2
Shvedova Y.,2
Zahlavova Strycova B.,2
Mattek-Sands B.,2
Lepchenko V.,2
Kvitova P.,2
Diyas Z.,2
Svitolina E.,2
Vandeweghe C.,2
Garcia C.,2
Errani S.,2
Witthoeft C.,2
Giorgi C.,2
Tatishvili A.,1
Tomljanovic A.,1
Wozniacki C.,1
Stosur S.,1
Rybarikova M.,1
Soler Espinosa S.,1
Smitkova T.,1
Siniakova K.,1
Vinci R.,1
Voegele S.,1
Schmiedlova A.,1
Allertova D.,1
Puig M.,1
Pironkova T.,1
Barthel M.,1
Bertens K.,1
Chang K.C.,1
Davis L.,1
Dellacqua C.,1
Dodin O.,1
Falconi I.,1
Gajdosova J.,1
Gibbs N.,1
Hantuchova D.,1
Hercog P.,1
Koukalova K.,1
Larsson J.,1
Arruabarrena L.,1
Mchale C.,1
Mladenovic K.,1
Panova A.,1
Zvonareva V.,1
