Winner,Clay
Sharapova M.,7
Errani S.,6
Stosur S.,5
Kvitova P.,5
Cibulkova D.,4
Shvedova Y.,4
Kanepi K.,4
Kerber A.,4
Azarenka V.,3
Martic P.,3
Stephens S.,3
Li N.,3
Lepchenko V.,3
Zakopalova K.,3
Kuznetsova S.,3
Rus A.,3
Mchale C.,2
Medina Garrigues A.,2
Petrova N.,2
Pennetta F.,2
Radwanska A.,2
Martinez-Sanchez M.J.,2
Johansson M.,2
Goerges J.,2
Wozniak A.,2
Bratchikova N.,2
Wozniacki C.,2
Schiavone F.,2
Suarez Navarro C.,2
Ivanovic A.,2
Peng S.,2
Pavlyuchenkova A.,2
Scheepers C.,1
Safarova L.,1
Razzano V.,1
Watson H.,1
Pironkova T.,1
Williams V.,1
Pfizenmaier D.,1
Radwanska U.,1
Arvidsson S.,1
Peer S.,1
Foretz S.,1
Bartoli M.,1
Begu I.,1
Cetkovska P.,1
Chan Y.J.,1
Czink M.,1
Davis L.,1
Dominguez Lino L.,1
Falconi I.,1
Feuerstein C.,1
Gajdosova J.,1
Pavlovic I.,1
Glatch A.,1
Govortsova O.,1
Jankovic J.,1
Karatantcheva S.,1
King V.,1
Kirilenko M.,1
Mattek-Sands B.,1
Morita A.,1
Oudin M.,1
Zheng J.,1
