,player,pts_won,net_pts,net_efficiency
0,Victoria Azarenka,21,27,77.77777777777779
1,Karolina Pliskova,34,45,75.55555555555556
2,Sloane Stephens,27,37,72.97297297297297
3,Serena Williams,56,78,71.7948717948718
4,Taylor Townsend,27,38,71.05263157894737
5,Elina Svitolina,27,39,69.23076923076923
6,Kiki Bertens,46,69,66.66666666666666
7,Monica Niculescu,30,45,66.66666666666666
8,Andrea Petkovic,36,56,64.28571428571429
9,Coco Gauff,24,38,63.1578947368421
