Winner,Hard
Stosur S.,7
Williams S.,6
Wozniacki C.,5
Kerber A.,5
Zvonareva V.,4
Petkovic A.,4
Pavlyuchenkova A.,4
Pennetta F.,4
Kirilenko M.,3
Lisicki S.,3
Niculescu M.,3
Ivanovic A.,3
Peng S.,3
Kuznetsova S.,3
Schiavone F.,3
Suarez Navarro C.,3
Kudryavtseva A.,2
Safarova L.,2
Scheepers C.,2
Sharapova M.,2
Soler Espinosa S.,2
Azarenka V.,2
Stephens S.,2
Mchale C.,2
Vinci R.,2
Petrova N.,2
Amanmuradova A.,2
Medina Garrigues A.,2
King V.,2
Jankovic J.,2
Falconi I.,2
Goerges J.,2
Bondarenko K.,1
Dokic J.,1
Cornet A.,1
Cibulkova D.,1
Cetkovska P.,1
Vandeweghe C.,1
Dulko G.,1
Bartoli M.,1
Wickmayer Y.,1
Barthel M.,1
Williams V.,1
Baltacha E.,1
Yakimova A.,1
Zheng J.,1
Dulgheru A.,1
Krajicek M.,1
Dushevina V.,1
Rus A.,1
Radwanska A.,1
Pous-Tio L.,1
Pironkova T.,1
Gajdosova J.,1
Halep S.,1
Peer S.,1
Hercog P.,1
Parmentier P.,1
Oprandi R.,1
Kanepi K.,1
Keys M.,1
Martic P.,1
Lucic M.,1
Robson L.,1
