Winner,Hard
Draper J.,6
Rune H.,5
Alcaraz C.,4
Medvedev D.,4
Griekspoor T.,4
Shelton B.,3
Giron M.,3
Fils A.,3
Watanuki Y.,3
Cerundolo F.,3
De Minaur A.,2
Brooksby J.,2
Monfils G.,2
Norrie C.,2
Arnaldi M.,2
Paul T.,2
Nakashima B.,2
Tsitsipas S.,2
Fritz T.,2
Dimitrov G.,2
Van De Zandschulp B.,2
Tiafoe F.,1
Navone M.,1
Nishikori K.,1
Walton A.,1
O Connell C.,1
Popyrin A.,1
Tabilo A.,1
Berrettini M.,1
Safiullin R.,1
Seyboth Wild T.,1
Musetti L.,1
Bergs Z.,1
Smith C.,1
Shapovalov D.,1
Michelsen A.,1
Mpetshi G.,1
Moutet C.,1
Dzumhur D.,1
Bu Y.,1
Fonseca J.,1
Gaston H.,1
Gigante M.,1
Goffin D.,1
Boyer T.,1
Halys Q.,1
Hijikata R.,1
Humbert U.,1
Hurkacz H.,1
Khachanov K.,1
Lajovic D.,1
McDonald M.,1
Borges N.,1
Mensik J.,1
Diallo G.,1
Marozsan F.,1
