,player,pts_won,net_pts,net_efficiency
0,Nikolay Davydenko,46,57,80.7017543859649
1,Hubert Hurkacz,133,169,78.69822485207101
2,Rafael Nadal,61,78,78.2051282051282
3,Jannik Sinner,43,57,75.43859649122807
4,Grigor Dimitrov,52,69,75.36231884057972
5,Andy Murray,90,122,73.77049180327869
6,Novak Djokovic,206,288,71.52777777777779
7,Fabian Marozsan,57,82,69.51219512195121
8,Stefanos Tsitsipas,66,95,69.47368421052632
9,Roger Federer,155,235,65.95744680851064
10,Alexander Zverev,52,79,65.82278481012658
