Winner,Hard
Radwanska A.,46
Williams S.,46
Kerber A.,35
Li N.,35
Wozniacki C.,34
Kvitova P.,34
Azarenka V.,32
Stosur S.,31
Stephens S.,29
Halep S.,28
Ivanovic A.,28
Vinci R.,26
Pavlyuchenkova A.,26
Errani S.,25
Jankovic J.,24
Cirstea S.,24
Kirilenko M.,24
Rybarikova M.,23
Vesnina E.,22
Kuznetsova S.,21
Barthel M.,21
Niculescu M.,20
Suarez Navarro C.,19
Flipkens K.,19
Sharapova M.,19
Cibulkova D.,19
Zakopalova K.,18
Cornet A.,18
Lisicki S.,18
Safarova L.,17
Makarova E.,17
Jovanovski B.,17
Bouchard E.,15
Radwanska U.,15
Hampton J.,15
Hantuchova D.,15
Keys M.,14
Morita A.,14
Mladenovic K.,14
Voegele S.,14
Erakovic M.,13
Zheng J.,12
Petkovic A.,12
Williams V.,12
Davis L.,11
Bartoli M.,11
Wickmayer Y.,11
Govortsova O.,10
Robson L.,10
Mchale C.,10
Date Krumm K.,10
Hsieh S.W.,10
Peng S.,10
Schiavone F.,10
Svitolina E.,9
Beck A.,9
Voskoboeva G.,9
Mattek-Sands B.,8
Bertens K.,8
Zhang S.,8
Pennetta F.,8
Pliskova Ka.,8
Muguruza G.,8
Hercog P.,7
Lepchenko V.,7
Goerges J.,7
Tsurenko L.,7
Watson H.,7
Vekic D.,7
Doi M.,7
Petrova N.,7
Tomljanovic A.,6
Knapp K.,6
Cadantu A.,6
King V.,6
Begu I.,6
Meusburger Y.,6
Babos T.,6
Peer S.,6
Kumkhum L.,5
Puig M.,5
Puchkova O.,5
Mayr P.,5
Oprandi R.,5
Nara K.,5
Riske A.,5
Torro Flor M.T.,5
Vandeweghe C.,5
Scheepers C.,5
Arvidsson S.,5
Garcia C.,5
Razzano V.,4
Dolonc V.,4
Dushevina V.,4
Larsson J.,4
Cepelova J.,4
Shvedova Y.,4
Giorgi C.,4
Minella M.,4
Kleybanova A.,4
Pervak K.,4
Bratchikova N.,3
Zahlavova Strycova B.,3
Barty A.,3
Burnett N.,3
Ormaechea P.,3
Czink M.,3
Daniilidou E.,3
Arruabarrena-Vecino L.,3
Arruabarrena L.,3
Dulgheru A.,3
Linette M.,3
Kanepi K.,3
Duval V.,3
Gajdosova J.,3
Piter K.,3
Jabeur O.,3
Glushko J.,3
Pironkova T.,2
Paszek T.,2
Soler Espinosa S.,2
Wozniak A.,2
Pliskova Kr.,2
Sevastova A.,2
Putintseva Y.,2
Savinykh V.,2
Rodionova An.,2
Amanmuradova A.,2
Mrdeza T.,2
Majeric T.,2
Bencic B.,2
Burdette M.,2
Duan Y.Y.,2
Gavrilova D.,2
Hlavackova A.,2
Jang S.J.,2
Karatantcheva S.,2
Konta J.,2
Lucic M.,2
Zhou Y.M.,2
Medina Garrigues A.,2
Malek T.,1
Vickery S.,1
Ozaki R.,1
Haddad Maia B.,1
Cabeza-Candela E.,1
Schmiedlova A.,1
Gibbs N.,1
Oudin M.,1
Garcia Vidagany B.,1
Smitkova T.,1
Cetkovska P.,1
Foretz S.,1
Fichman S.,1
Feuerstein C.,1
Chan Y.J.,1
Wang Q.,1
Chang K.C.,1
Dominguez Lino L.,1
Townsend T.,1
Diyas Z.,1
Cohen J.,1
Dellacqua C.,1
Sanchez M.,1
Wongteanchai V.,1
Hradecka L.,1
Kozlova K.,1
Martic P.,1
Martincova T.,1
Zheng S.,1
Luangnam N.,1
Arefyeva T.,1
Lee Y.R.,1
Larcherde Brito M.,1
Kudryavtseva A.,1
Bychkova E.,1
Zanevska M.,1
Koehler M.J.,1
Kichenok N.,1
Parmentier P.,1
Johansson M.,1
Panova A.,1
Jaksic J.,1
Coin J.,1
Camerin M.E.,0
Min G.,0
Birnerova E.,0
Bukta A.,0
Baltacha E.,0
Voracova R.,0
Gamiz A.,0
Craybas J.,0
Rus A.,0
Pereira T.,0
Pfizenmaier D.,0
Kucova Z.,0
Krajicek M.,0
Kovinic D.,0
Parra Santonja A.,0
Rogers S.,0
Hogenkamp R.,0
Dentoni C.,0
Moser L.M.,0
Pegula J.,0
Solovyeva V.,0
Duque Marino M.,0
Tatishvili A.,0
Martinez-Sanchez M.J.,0
Van Uytvanck A.,0
Golubic V.,0
