,player,passed_at_net,net_pts,passing_shot
0,Yannick Noah,16,44,36.36363636363637
1,Boris Becker,62,268,23.134328358208954
2,Michael Chang,8,46,17.391304347826086
3,Andres Gomez,17,98,17.346938775510203
4,Pete Sampras,32,195,16.41025641025641
5,Stefan Edberg,78,509,15.324165029469548
6,John Mcenroe,19,134,14.17910447761194
7,Thomas Muster,8,66,12.121212121212121
8,Andre Agassi,20,166,12.048192771084338
9,Ivan Lendl,10,85,11.76470588235294
10,Jonas Svensson,4,44,9.090909090909092
