,player,passed_at_net,net_pts,passing_shot
0,Alexander Bublik,5,17,29.411764705882355
1,Stan Wawrinka,4,15,26.666666666666668
2,Benjamin Bonzi,4,16,25.0
3,Nick Kyrgios,3,15,20.0
4,Pierre Hugues Herbert,3,28,10.714285714285714
5,Hubert Hurkacz,11,106,10.377358490566039
6,Roger Federer,2,22,9.090909090909092
7,Daniil Medvedev,1,16,6.25
8,Stefanos Tsitsipas,1,18,5.555555555555555
9,Ugo Humbert,4,73,5.47945205479452
10,Benoit Paire,1,22,4.545454545454546
11,Felix Auger Aliassime,0,15,0.0
12,Filip Krajinovic,0,15,0.0
