Winner,Hard
Sinner J.,7
Fritz T.,6
Draper J.,5
Tiafoe F.,5
Zverev A.,4
Medvedev D.,4
Dimitrov G.,4
De Minaur A.,4
Rublev A.,3
Popyrin A.,3
Paul T.,3
Ruud C.,3
Machac T.,3
Nakashima B.,3
Borges N.,3
Thompson J.,3
Arnaldi M.,2
O Connell C.,2
Musetti L.,2
Mensik J.,2
Griekspoor T.,2
Goffin D.,2
Lehecka J.,2
Etcheverry T.,2
Evans D.,2
Diallo G.,2
Van De Zandschulp B.,2
Shelton B.,2
Shang J.,2
Cobolli F.,2
Comesana F.,2
Djokovic N.,2
Schoolkate T.,1
Monfils G.,1
Safiullin R.,1
Purcell M.,1
Navone M.,1
Rinderknech A.,1
Shevchenko A.,1
Virtanen O.,1
Muller A.,1
Alcaraz C.,1
Michelsen A.,1
Martinez P.,1
Baez S.,1
Bautista Agut R.,1
Bellucci M.,1
Bergs Z.,1
Berrettini M.,1
Carballes Baena R.,1
Cazaux A.,1
Cerundolo F.,1
Diaz Acosta F.,1
Djere L.,1
Fils A.,1
Hijikata R.,1
Humbert U.,1
Hurkacz H.,1
Kecmanovic M.,1
Kokkinakis T.,1
Korda S.,1
Mannarino A.,1
Marozsan F.,1
Krueger M.,1
