Winner,Clay
Alcaraz C.,6
Struff J.L.,6
Karatsev A.,5
Coric B.,4
Zhang Zh.,4
Zapata Miralles B.,3
Tsitsipas S.,3
Munar J.,3
Altmaier D.,3
Khachanov K.,3
Cachin P.,3
Zverev A.,2
Grenier H.,2
Davidovich Fokina A.,2
Safiullin R.,2
Shevchenko A.,2
Medvedev D.,2
Lajovic D.,2
Hanfmann Y.,2
Garin C.,2
Fritz T.,2
Arnaldi M.,2
Rublev A.,2
Barrere G.,1
Vavassori A.,1
Tiafoe F.,1
Ramos-Vinolas A.,1
Thiem D.,1
Bautista Agut R.,1
Watanuki Y.,1
Wawrinka S.,1
Baez S.,1
Ruusuvuori E.,1
Rune H.,1
Cecchinato M.,1
Otte O.,1
O Connell C.,1
Norrie C.,1
Nishioka Y.,1
Monteiro T.,1
Molcan A.,1
Carballes Baena R.,1
Hurkacz H.,1
Halys Q.,1
Giron M.,1
Gaston H.,1
Gasquet R.,1
Etcheverry T.,1
Dimitrov G.,1
De Minaur A.,1
Bublik A.,1
