Winner,Hard
Medvedev D.,6
Sinner J.,5
Alcaraz C.,4
Ruusuvuori E.,4
Khachanov K.,4
Eubanks C.,4
Mannarino A.,3
Halys Q.,3
Sonego L.,3
Cerundolo F.,3
Fritz T.,3
Molcan A.,2
Mcdonald M.,2
Rublev A.,2
Paul T.,2
Rune H.,2
Tsitsipas S.,2
Van De Zandschulp B.,2
Lajovic D.,2
Lehecka J.,2
Barrere G.,2
Garin C.,2
Daniel T.,2
Ivashka I.,1
Djere L.,1
Wolf J.J.,1
Watanuki Y.,1
Bagnis F.,1
Tiafoe F.,1
Struff J.L.,1
Carballes Baena R.,1
Shapovalov D.,1
Schwartzman D.,1
Davidovich Fokina A.,1
Ruud C.,1
Dimitrov G.,1
Popyrin A.,1
Kecmanovic M.,1
Pella G.,1
Etcheverry T.,1
Nava E.,1
Nakashima B.,1
Monteiro T.,1
Fucsovics M.,1
Gasquet R.,1
Huesler M.A.,1
Auger-Aliassime F.,1
Humbert U.,1
Kovacevic A.,1
Kokkinakis T.,1
Hurkacz H.,1
Wu Y.,1
