Winner,Hard
Hurkacz H.,6
Rublev A.,5
Korda S.,4
Dimitrov G.,4
Marozsan F.,4
Humbert U.,3
Zhang Zh.,3
Wolf J.J.,3
Jarry N.,3
Shelton B.,3
Schwartzman D.,3
Nakashima B.,2
Arnaldi M.,2
Alcaraz C.,2
Paul T.,2
Ruud C.,2
Sinner J.,2
Sonego L.,2
Safiullin R.,2
Lajovic D.,2
Hsu Y.,2
Fils A.,2
Cerundolo F.,2
Fucsovics M.,2
Hijikata R.,1
Kukushkin M.,1
Atmane T.,1
Baez S.,1
Watanuki Y.,1
Vukic A.,1
Van De Zandschulp B.,1
Tsitsipas S.,1
Tseng C.H.,1
Sweeny D.,1
Barrere G.,1
Khachanov K.,1
Eubanks C.,1
Evans D.,1
Kokkinakis T.,1
Fritz T.,1
Kecmanovic M.,1
Garin C.,1
Ofner S.,1
Nishioka Y.,1
Giron M.,1
Munar J.,1
Medvedev D.,1
Mcdonald M.,1
Halys Q.,1
Mannarino A.,1
Hanfmann Y.,1
Zhukayev B.,1
