,player,pts_won,net_pts,net_efficiency
0,Jannik Sinner,55,72,76.38888888888889
1,Tallon Griekspoor,124,165,75.15151515151514
2,Grigor Dimitrov,39,52,75.0
3,Felix Auger Aliassime,35,48,72.91666666666666
4,Kei Nishikori,35,48,72.91666666666666
5,Andrey Rublev,34,48,70.83333333333334
6,Hubert Hurkacz,125,179,69.83240223463687
7,Roger Federer,71,104,68.26923076923077
8,Alex De Minaur,68,102,66.66666666666666
9,Stan Wawrinka,34,51,66.66666666666666
10,Stefanos Tsitsipas,65,98,66.3265306122449
11,Damir Dzumhur,36,56,64.28571428571429
