,player,pts_won,net_pts,net_efficiency
0,Daniil Medvedev,82,110,74.54545454545455
1,Ivan Lendl,139,193,72.02072538860104
2,Roger Federer,223,312,71.47435897435898
3,Andre Agassi,110,161,68.32298136645963
4,Novak Djokovic,308,455,67.6923076923077
5,Pete Sampras,184,296,62.16216216216216
6,Alexander Zverev,68,114,59.64912280701754
7,Stefan Edberg,176,310,56.774193548387096
8,Boris Becker,167,309,54.0453074433657
9,Vitas Gerulaitis,77,143,53.84615384615385
