,player,pts_won,net_pts,net_efficiency
0,Botic Van De Zandschulp,32,39,82.05128205128204
1,Hubert Hurkacz,109,137,79.56204379562044
2,Grigor Dimitrov,42,53,79.24528301886792
3,Rafael Nadal,51,65,78.46153846153847
4,Fabian Marozsan,51,70,72.85714285714285
5,Roberto Bautista Agut,28,39,71.7948717948718
6,Andy Murray,65,91,71.42857142857143
7,Novak Djokovic,139,195,71.28205128205128
8,Stefanos Tsitsipas,46,66,69.6969696969697
9,Roger Federer,117,181,64.64088397790056
10,Alexander Zverev,33,52,63.46153846153846
