,player,passed_at_net,net_pts,passing_shot
0,Andy Roddick,20,91,21.978021978021978
1,Fernando Gonzalez,10,56,17.857142857142858
2,James Blake,14,87,16.091954022988507
3,David Nalbandian,8,56,14.285714285714285
4,Andy Murray,27,209,12.918660287081341
5,Roger Federer,88,720,12.222222222222221
6,Novak Djokovic,43,418,10.287081339712918
7,Rafael Nadal,30,304,9.868421052631579
8,Jo Wilfried Tsonga,9,92,9.782608695652174
9,Gilles Simon,10,105,9.523809523809524
10,Nikolay Davydenko,6,87,6.896551724137931
