Winner,Hard
Alcaraz C.,6
Medvedev D.,5
Sinner J.,4
Paul T.,4
Lehecka J.,3
Ruud C.,3
Rune H.,3
Monfils G.,3
Marozsan F.,3
Zverev A.,3
Dimitrov G.,2
Tsitsipas S.,2
Seyboth Wild T.,2
Shelton B.,2
De Minaur A.,2
Nardi L.,2
Fritz T.,2
Fils A.,2
O Connell C.,1
Carballes Baena R.,1
Pouille L.,1
Raonic M.,1
Rublev A.,1
Bublik A.,1
Baez S.,1
Safiullin R.,1
Vukic A.,1
Shapovalov D.,1
Zhang Zh.,1
Norrie C.,1
Shevchenko A.,1
Auger-Aliassime F.,1
Sonego L.,1
Struff J.L.,1
Tabilo A.,1
Tiafoe F.,1
Shang J.,1
Nakashima B.,1
Djokovic N.,1
Musetti L.,1
Fognini F.,1
Griekspoor T.,1
Hanfmann Y.,1
Humbert U.,1
Klein L.,1
Kokkinakis T.,1
Korda S.,1
Kypson P.,1
Lajovic D.,1
Lestienne C.,1
Machac T.,1
Mannarino A.,1
Daniel T.,1
Coric B.,1
Mensik J.,1
Arnaldi M.,1
Cerundolo F.,1
Muller A.,1
Murray A.,1
Michelsen A.,1
