Winner,Clay
Williams S.,28
Jankovic J.,21
Errani S.,21
Sharapova M.,17
Halep S.,16
Dominguez Lino L.,16
Suarez Navarro C.,16
Vinci R.,16
Cornet A.,15
Kanepi K.,14
Schiavone F.,12
Knapp K.,11
Azarenka V.,10
Scheepers C.,10
Beck A.,10
Kvitova P.,10
Torro Flor M.T.,9
Ivanovic A.,9
Soler Espinosa S.,9
Cadantu A.,9
Lepchenko V.,9
Larsson J.,9
Meusburger Y.,9
Mattek-Sands B.,8
Pennetta F.,8
Lisicki S.,8
Bouchard E.,8
Kerber A.,8
Kuznetsova S.,8
Kirilenko M.,8
Minella M.,8
Oprandi R.,8
Cabeza-Candela E.,7
Peng S.,7
Pavlyuchenkova A.,7
Zakopalova K.,7
Stephens S.,7
Goerges J.,7
Stosur S.,6
Ormaechea P.,6
Hampton J.,6
Voegele S.,6
Petkovic A.,6
Safarova L.,6
Cirstea S.,6
Bertens K.,6
Mladenovic K.,5
Li N.,5
Medina Garrigues A.,5
Keys M.,5
Shvedova Y.,5
Hlavackova A.,5
Razzano V.,5
Puig M.,5
Johansson M.,5
Radwanska A.,5
Zheng J.,5
Cibulkova D.,4
Robson L.,4
Bartoli M.,4
Svitolina E.,4
Peer S.,4
Tatishvili A.,4
Voskoboeva G.,4
Pereira T.,4
Pfizenmaier D.,4
Martic P.,4
Morita A.,4
Hradecka L.,4
Makarova E.,3
Jovanovski B.,3
Begu I.,3
Radwanska U.,3
Burdette M.,3
Wozniacki C.,3
Hercog P.,3
Williams V.,3
Erakovic M.,3
Flipkens K.,3
Lucic M.,3
Babos T.,3
Putintseva Y.,3
Burnett N.,2
Camerin M.E.,2
Cepelova J.,2
Schmiedlova A.,2
Mayr P.,2
Vesnina E.,2
Mchale C.,2
Moser L.M.,2
Muguruza G.,2
Oudin M.,2
Rus A.,2
Rogers S.,2
Pegula J.,2
Petrova N.,2
Pliskova Ka.,2
Arruabarrena-Vecino L.,2
Niculescu M.,2
Cetkovska P.,2
Govortsova O.,2
Hantuchova D.,2
King V.,2
Duque Marino M.,2
Voracova R.,2
Wickmayer Y.,2
Kovinic D.,2
Hogenkamp R.,2
Giorgi C.,2
Garcia C.,2
Doi M.,2
Parra Santonja A.,1
Barthel M.,1
Zhang S.,1
Rybarikova M.,1
Hsieh S.W.,1
Tsurenko L.,1
Foretz S.,1
Barty A.,1
Baltacha E.,1
Dulgheru A.,1
Mrdeza T.,1
Karatantcheva S.,1
Cohen J.,1
Pironkova T.,1
Golubic V.,1
Zahlavova Strycova B.,1
Kucova Z.,1
Gamiz A.,1
Linette M.,1
Craybas J.,1
Solovyeva V.,1
Puchkova O.,1
Davis L.,1
Martinez-Sanchez M.J.,1
Dentoni C.,1
Bukta A.,1
Bratchikova N.,1
Min G.,1
Vekic D.,0
Vandeweghe C.,0
Riske A.,0
Van Uytvanck A.,0
Zheng S.,0
Wang Q.,0
Townsend T.,0
Vickery S.,0
Rodionova An.,0
Smitkova T.,0
Zanevska M.,0
Watson H.,0
Sanchez M.,0
Savinykh V.,0
Wongteanchai V.,0
Sevastova A.,0
Wozniak A.,0
Tomljanovic A.,0
Amanmuradova A.,0
Pliskova Kr.,0
Piter K.,0
Gibbs N.,0
Gavrilova D.,0
Garcia Vidagany B.,0
Gajdosova J.,0
Fichman S.,0
Feuerstein C.,0
Duval V.,0
Dushevina V.,0
Duan Y.Y.,0
Dolonc V.,0
Diyas Z.,0
Dellacqua C.,0
Date Krumm K.,0
Daniilidou E.,0
Czink M.,0
Coin J.,0
Chang K.C.,0
Chan Y.J.,0
Bychkova E.,0
Birnerova E.,0
Bencic B.,0
Arvidsson S.,0
Arruabarrena L.,0
Glushko J.,0
Haddad Maia B.,0
Jabeur O.,0
Arefyeva T.,0
Pervak K.,0
Paszek T.,0
Parmentier P.,0
Panova A.,0
Ozaki R.,0
Nara K.,0
Martincova T.,0
Malek T.,0
Majeric T.,0
Luangnam N.,0
Lee Y.R.,0
Jaksic J.,0
Larcherde Brito M.,0
Kumkhum L.,0
Kudryavtseva A.,0
Krajicek M.,0
Kozlova K.,0
Konta J.,0
Koehler M.J.,0
Kleybanova A.,0
Kichenok N.,0
Jang S.J.,0
Zhou Y.M.,0
