Continent,Winner,Surface,Wins
EU,Ajdukovic D.,Clay,3
EU,Albot R.,Clay,1
EU,Alcaraz C.,Clay,10
EU,Altmaier D.,Clay,4
EU,Arnaldi M.,Clay,8
EU,Atmane T.,Clay,2
EU,Auger-Aliassime F.,Clay,13
EU,Baez S.,Clay,10
EU,Bagnis F.,Clay,1
EU,Barrere G.,Clay,3
EU,Bautista Agut R.,Clay,3
EU,Bergs Z.,Clay,2
EU,Berrettini M.,Clay,10
EU,Blanchet U.,Clay,1
EU,Bonzi B.,Clay,0
EU,Borges N.,Clay,9
EU,Brouwer G.,Clay,0
EU,Bu Y.,Clay,0
EU,Bublik A.,Clay,5
EU,Cachin P.,Clay,2
EU,Carballes Baena R.,Clay,9
EU,Cazaux A.,Clay,0
EU,Cerundolo F.,Clay,14
EU,Cilic M.,Clay,0
EU,Cobolli F.,Clay,9
EU,Comesana F.,Clay,0
EU,Coria F.,Clay,1
EU,Coric B.,Clay,1
EU,Daniel T.,Clay,2
EU,Darderi L.,Clay,10
EU,Davidovich Fokina A.,Clay,3
EU,De Jong J.,Clay,1
EU,De Minaur A.,Clay,7
EU,Diaz Acosta F.,Clay,6
EU,Dimitrov G.,Clay,6
EU,Djere L.,Clay,2
EU,Djokovic N.,Clay,7
EU,Dodig M.,Clay,1
EU,Draper J.,Clay,4
EU,Duckworth J.,Clay,0
EU,Etcheverry T.,Clay,11
EU,Eubanks C.,Clay,0
EU,Fearnley J.,Clay,0
EU,Fils A.,Clay,7
EU,Fognini F.,Clay,5
EU,Fonseca J.,Clay,3
EU,Fritz T.,Clay,13
EU,Fucsovics M.,Clay,5
EU,Galan D.E.,Clay,3
EU,Garin C.,Clay,3
EU,Gasquet R.,Clay,1
EU,Gaston H.,Clay,7
EU,Gigante M.,Clay,1
EU,Giron M.,Clay,1
EU,Goffin D.,Clay,1
EU,Griekspoor T.,Clay,6
EU,Halys Q.,Clay,4
EU,Hanfmann Y.,Clay,7
EU,Hardt N.,Clay,1
EU,Harris B.,Clay,0
EU,Harris L.,Clay,0
EU,Heide G.,Clay,2
EU,Herbert P.H.,Clay,0
EU,Huesler M.A.,Clay,2
EU,Humbert U.,Clay,1
EU,Hurkacz H.,Clay,8
EU,Hussey G.,Clay,0
EU,Jarry N.,Clay,5
EU,Karatsev A.,Clay,1
EU,Kecmanovic M.,Clay,5
EU,Khachanov K.,Clay,5
EU,Klein L.,Clay,2
EU,Koepfer D.,Clay,4
EU,Kokkinakis T.,Clay,2
EU,Korda S.,Clay,4
EU,Kotov P.,Clay,8
EU,Kovacevic A.,Clay,0
EU,Kovalik J.,Clay,2
EU,Kwon S.W.,Clay,1
EU,Lajovic D.,Clay,9
EU,Lehecka J.,Clay,4
EU,Lestienne C.,Clay,0
EU,Llamas Ruiz P.,Clay,0
EU,Machac T.,Clay,8
EU,Mannarino A.,Clay,0
EU,Marozsan F.,Clay,5
EU,Marterer M.,Clay,2
EU,Martinez P.,Clay,7
EU,Mayot H.,Clay,1
EU,Mcdonald M.,Clay,0
EU,Medjedovic H.,Clay,4
EU,Medvedev D.,Clay,8
EU,Mensik J.,Clay,5
EU,Michelsen A.,Clay,3
EU,Misolic F.,Clay,1
EU,Mmoh M.,Clay,0
EU,Molleker R.,Clay,1
EU,Monfils G.,Clay,1
EU,Monteiro T.,Clay,8
EU,Moreno De Alboran N.,Clay,3
EU,Moro Canas A.,Clay,1
EU,Moutet C.,Clay,6
EU,Mpetshi G.,Clay,5
EU,Muller A.,Clay,7
EU,Munar J.,Clay,4
EU,Musetti L.,Clay,5
EU,Nadal R.,Clay,9
EU,Nagal S.,Clay,2
EU,Nakashima B.,Clay,3
EU,Napolitano S.,Clay,2
EU,Nardi L.,Clay,1
EU,Navone M.,Clay,7
EU,Neumayer L.,Clay,1
EU,Nishikori K.,Clay,1
EU,Nishioka Y.,Clay,2
EU,Norrie C.,Clay,5
EU,O Connell C.,Clay,0
EU,Ofner S.,Clay,4
EU,Paire B.,Clay,0
EU,Passaro F.,Clay,2
EU,Paul T.,Clay,7
EU,Popyrin A.,Clay,0
EU,Pouille L.,Clay,0
EU,Purcell M.,Clay,1
EU,Raonic M.,Clay,0
EU,Riedi L.,Clay,1
EU,Rinderknech A.,Clay,4
EU,Rocha H.,Clay,1
EU,Rodionov J.,Clay,1
EU,Rublev A.,Clay,11
EU,Rune H.,Clay,9
EU,Ruud C.,Clay,16
EU,Ruusuvuori E.,Clay,1
EU,Safiullin R.,Clay,0
EU,Seyboth Wild T.,Clay,7
EU,Shang J.,Clay,1
EU,Shapovalov D.,Clay,5
EU,Shelton B.,Clay,4
EU,Shevchenko A.,Clay,6
EU,Sinner J.,Clay,8
EU,Skatov T.,Clay,2
EU,Sonego L.,Clay,4
EU,Squire H.,Clay,1
EU,Stricker D.,Clay,0
EU,Struff J.L.,Clay,12
EU,Tabilo A.,Clay,6
EU,Thompson J.,Clay,1
EU,Tiafoe F.,Clay,2
EU,Tirante T.A.,Clay,4
EU,Trungelliti M.,Clay,4
EU,Tseng C. H.,Clay,1
EU,Tsitsipas S.,Clay,13
EU,Ugo Carabelli C.,Clay,1
EU,Van Assche L.,Clay,2
EU,Van De Zandschulp B.,Clay,4
EU,Varillas J.P.,Clay,1
EU,Virtanen O.,Clay,0
EU,Vukic A.,Clay,2
EU,Walton A.,Clay,0
EU,Wawrinka S.,Clay,1
EU,Yevseyev D.,Clay,1
EU,Zeppieri G.,Clay,1
EU,Zhang Zh.,Clay,8
EU,Zverev A.,Clay,19
SA,Alcaraz C.,Clay,2
SA,Auger-Aliassime F.,Clay,1
SA,Baez S.,Clay,9
SA,Bagnis F.,Clay,4
SA,Barrios M.,Clay,1
SA,Bautista Agut R.,Clay,1
SA,Burruchaga R.,Clay,1
SA,Carballes Baena R.,Clay,1
SA,Cerundolo F.,Clay,4
SA,Coria F.,Clay,6
SA,Coric B.,Clay,1
SA,Darderi L.,Clay,6
SA,De Minaur A.,Clay,3
SA,Dellien H.,Clay,1
SA,Diaz Acosta F.,Clay,8
SA,Dimitrov G.,Clay,2
SA,Djere L.,Clay,2
SA,Djokovic N.,Clay,3
SA,Etcheverry T.,Clay,4
SA,Fils A.,Clay,1
SA,Fonseca J.,Clay,2
SA,Galan D.E.,Clay,1
SA,Garin C.,Clay,1
SA,Griekspoor T.,Clay,1
SA,Hanfmann Y.,Clay,3
SA,Humbert U.,Clay,3
SA,Hurkacz H.,Clay,2
SA,Jarry N.,Clay,3
SA,Kecmanovic M.,Clay,1
SA,Khachanov K.,Clay,3
SA,Korda S.,Clay,1
SA,Lajovic D.,Clay,4
SA,Medvedev D.,Clay,1
SA,Meligeni Alves F.,Clay,1
SA,Monfils G.,Clay,1
SA,Monteiro T.,Clay,2
SA,Munar J.,Clay,3
SA,Musetti L.,Clay,2
SA,Nagal S.,Clay,1
SA,Navone M.,Clay,4
