,player,pts_won,net_pts,net_efficiency
0,Roberto Bautista Agut,37,47,78.72340425531915
1,Botic Van De Zandschulp,218,291,74.91408934707904
2,Daniil Medvedev,72,98,73.46938775510205
3,Jenson Brooksby,56,78,71.7948717948718
4,Novak Djokovic,110,154,71.42857142857143
5,Jannik Sinner,31,44,70.45454545454545
6,Stefanos Tsitsipas,62,88,70.45454545454545
7,Carlos Alcaraz,33,47,70.2127659574468
8,Diego Schwartzman,28,44,63.63636363636363
9,Felix Auger Aliassime,43,70,61.42857142857143
10,Tallon Griekspoor,29,50,57.99999999999999
