,player,pts_won,net_pts,net_efficiency
0,Serena Williams,194,279,69.53405017921148
1,Venus Williams,100,147,68.02721088435374
2,Bianca Andreescu,164,245,66.93877551020408
3,Karolina Muchova,132,206,64.07766990291263
4,Gabriela Sabatini,76,122,62.295081967213115
5,Victoria Azarenka,66,106,62.264150943396224
6,Taylor Townsend,62,101,61.386138613861384
7,Steffi Graf,79,131,60.30534351145038
8,Martina Navratilova,146,279,52.32974910394266
9,Hana Mandlikova,49,98,50.0
