,player,passed_at_net,net_pts,passing_shot
0,Agnieszka Radwanska,42,191,21.98952879581152
1,Elina Svitolina,14,68,20.588235294117645
2,Victoria Azarenka,18,88,20.454545454545457
3,Venus Williams,16,93,17.20430107526882
4,Svetlana Kuznetsova,13,77,16.883116883116884
5,Ana Ivanovic,9,61,14.754098360655737
6,Angelique Kerber,9,61,14.754098360655737
7,Lucie Safarova,12,87,13.793103448275861
8,Madison Keys,8,61,13.114754098360656
9,Garbine Muguruza,25,256,9.765625
10,Serena Williams,17,189,8.994708994708994
