Winner,Hard
Djokovic N.,7
Federer R.,6
Wawrinka S.,5
Cilic M.,5
Lopez F.,4
Gasquet R.,4
Tsonga J.W.,4
Anderson K.,4
Chardy J.,3
Fognini F.,3
Paire B.,3
Isner J.,3
Murray A.,3
Young D.,3
Bautista R.,3
Berdych T.,3
Thiem D.,2
Troicki V.,2
Bemelmans R.,2
Kohlschreiber P.,2
Raonic M.,2
Robredo T.,2
Nadal R.,2
Seppi A.,2
Goffin D.,2
Tomic B.,2
Garcia-Lopez G.,2
Vesely J.,2
Bellucci T.,2
Stakhovsky S.,2
Ferrer D.,2
Kukushkin M.,2
Nishioka Y.,1
Sock J.,1
Ram R.,1
Rosol L.,1
Schwartzman D.,1
Marchenko I.,1
Verdasco F.,1
Melzer J.,1
Karlovic I.,1
Mannarino A.,1
Gabashvili T.,1
Bedene A.,1
Berankis R.,1
Carreno-Busta P.,1
Chung H.,1
Cuevas P.,1
Darcis S.,1
Dimitrov G.,1
Donskoy E.,1
Fish M.,1
Granollers M.,1
Mahut N.,1
Groth S.,1
Haase R.,1
Haider-Maurer A.,1
Hewitt L.,1
Ilhan M.,1
Istomin D.,1
Klizan M.,1
Krajicek A.,1
Krajinovic F.,1
Youzhny M.,1
