,player,pts_won,net_pts,net_efficiency
0,Camila Giorgi,12,14,85.71428571428571
1,Greet Minnen,12,14,85.71428571428571
2,Eugenie Bouchard,17,20,85.0
3,Magda Linette,14,21,66.66666666666666
4,Mona Barthel,21,32,65.625
5,Elena Rybakina,18,29,62.06896551724138
6,Monica Niculescu,43,72,59.72222222222222
7,Shahar Peer,8,14,57.14285714285714
8,Shuai Peng,19,34,55.88235294117647
9,Bethanie Mattek Sands,13,24,54.166666666666664
10,Kirsten Flipkens,21,41,51.21951219512195
11,Yanina Wickmayer,7,19,36.84210526315789
