,player,passed_at_net,net_pts,passing_shot
0,Roger Federer,30,181,16.574585635359114
1,Stefanos Tsitsipas,10,66,15.151515151515152
2,Fabian Marozsan,10,70,14.285714285714285
3,Novak Djokovic,27,195,13.846153846153847
4,Alexander Zverev,7,52,13.461538461538462
5,Andy Murray,10,91,10.989010989010989
6,Hubert Hurkacz,15,137,10.948905109489052
7,Roberto Bautista Agut,4,39,10.256410256410255
8,Rafael Nadal,5,65,7.6923076923076925
9,Grigor Dimitrov,4,53,7.547169811320755
10,Botic Van De Zandschulp,2,39,5.128205128205128
