Winner,Grass
Williams S.,7
Radwanska A.,6
Azarenka V.,5
Kerber A.,5
Kvitova P.,4
Lisicki S.,4
Paszek T.,4
Kirilenko M.,4
Giorgi C.,3
Clijsters K.,3
Ivanovic A.,3
Peng S.,3
Schiavone F.,3
Vinci R.,3
Sharapova M.,3
Shvedova Y.,3
Rus A.,2
Watson H.,2
Petrova N.,2
Wickmayer Y.,2
Mchale C.,2
Zakopalova K.,2
Lepchenko V.,2
Zheng J.,2
Stephens S.,2
Lucic M.,2
Zvonareva V.,2
Errani S.,2
Hsieh S.W.,2
Cirstea S.,2
Goerges J.,2
Cepelova J.,2
Cetkovska P.,1
Soler Espinosa S.,1
Stosur S.,1
Tatishvili A.,1
Vesnina E.,1
Voskoboeva G.,1
Czink M.,1
Bondarenko K.,1
Bertens K.,1
Wozniak A.,1
Yakimova A.,1
Bartoli M.,1
Baltacha E.,1
Cornet A.,1
Keothavong A.,1
Dominguez Lino L.,1
Medina Garrigues A.,1
Johansson M.,1
Li N.,1
Hlavackova A.,1
Babos T.,1
Makarova E.,1
Hampton J.,1
Morita A.,1
Jovanovski B.,1
Oprandi R.,1
Govortsova O.,1
Pavlyuchenkova A.,1
Foretz S.,1
Pironkova T.,1
Pliskova Kr.,1
Erakovic M.,1
