Winner,Grass
Amritraj P.,4
Santoro F.,4
Dancevic F.,3
Spadea V.,3
Bopanna R.,2
Navarro-Pastor I.,2
Peya A.,2
Anderson K.,1
Evans B.,1
Kunitsyn I.,1
Ledovskikh M.,1
Levine J.,1
Qureshi A.U.H.,1
Young D.,1
