Winner,Clay
Nadal R.,7
Thiem D.,6
Federer R.,5
Djokovic N.,5
Zverev A.,4
Wawrinka S.,4
Khachanov K.,4
Nishikori K.,4
Del Potro J.M.,3
Fognini F.,3
Londero J.I.,3
Mayer L.,3
Monfils G.,3
Paire B.,3
Struff J.L.,3
Tsitsipas S.,3
Goffin D.,2
Moutet C.,2
Mahut N.,2
Lajovic D.,2
Ruud C.,2
Krajinovic F.,2
Thompson J.,2
Hoang A.,2
Klizan M.,2
Coric B.,2
Djere L.,2
Caruso S.,2
Bautista Agut R.,2
Cuevas P.,2
Carreno Busta P.,2
Dimitrov G.,2
Pella G.,1
Popyrin A.,1
Pouille L.,1
Schwartzman D.,1
Simon G.,1
Nishioka Y.,1
Carballes Baena R.,1
Bublik A.,1
Berrettini M.,1
Benchetrit E.,1
Tsonga J.W.,1
Verdasco F.,1
Ymer M.,1
Otte O.,1
Gasquet R.,1
Cilic M.,1
Kohlschreiber P.,1
Herbert P.H.,1
Garin C.,1
Karlovic I.,1
Kecmanovic M.,1
Fritz T.,1
Barrere G.,1
Edmund K.,1
Harris L.,1
Laaksonen H.,1
Maden Y.,1
Dellien H.,1
Mannarino A.,1
Delbonis F.,1
De Minaur A.,1
Albot R.,1
