Winner,Clay
Nadal R.,7
Wawrinka S.,6
Thiem D.,5
Murray A.,5
Cilic M.,4
Nishikori K.,4
Djokovic N.,4
Carreno Busta P.,4
Anderson K.,3
Khachanov K.,3
Monfils G.,3
Zeballos H.,3
Ramos-Vinolas A.,3
Raonic M.,3
Verdasco F.,3
Bautista Agut R.,3
Garcia-Lopez G.,2
Pouille L.,2
Schwartzman D.,2
Lopez F.,2
Vesely J.,2
Isner J.,2
Goffin D.,2
Gasquet R.,2
Johnson S.,2
Fognini F.,2
Edmund K.,2
Chung H.,2
Del Potro J. M.,2
Dimitrov G.,2
Cuevas P.,2
Basilashvili N.,2
Trungelliti M.,1
Troicki V.,1
Berdych T.,1
Stakhovsky S.,1
Coric B.,1
Seppi A.,1
Bolelli S.,1
Robredo T.,1
Bonzi B.,1
Bellucci T.,1
Chardy J.,1
Bedene A.,1
Olivo R.,1
Sousa J.,1
Daniel T.,1
Napolitano S.,1
Dolgopolov O.,1
Estrella Burgos V.,1
Haase R.,1
Herbert P.H.,1
Istomin D.,1
Dutra Silva R.,1
Karlovic I.,1
Kicker N.,1
Ferrer D.,1
Klizan M.,1
Kravchuk K.,1
Kukushkin M.,1
Kyrgios N.,1
Lorenzi P.,1
Monteiro T.,1
Almagro N.,1
