,player,passed_at_net,net_pts,passing_shot
0,Stefan Edberg,109,605,18.016528925619834
1,Daniil Medvedev,76,444,17.117117117117118
2,Stefanos Tsitsipas,61,460,13.260869565217392
3,Novak Djokovic,144,1125,12.8
4,Alexander Zverev,40,317,12.618296529968454
5,Roger Federer,244,1947,12.532100667693888
6,Stan Wawrinka,43,354,12.146892655367232
7,Hubert Hurkacz,46,409,11.246943765281173
8,Rafael Nadal,83,738,11.246612466124661
9,Andy Murray,76,681,11.16005873715125
