Winner,Grass
Halep S.,9
Bertens K.,9
Pliskova Ka.,9
Riske A.,9
Kerber A.,8
Strycova B.,8
Barty A.,8
Garcia C.,7
Konta J.,7
Mertens E.,7
Bencic B.,7
Williams S.,6
Martic P.,6
Kenin S.,6
Goerges J.,6
Zhang S.,6
Hercog P.,5
Sakkari M.,5
Jabeur O.,5
Svitolina E.,5
Alexandrova E.,5
Putintseva Y.,4
Cornet A.,4
Tomljanovic A.,4
Vekic D.,4
Ostapenko J.,4
Gasparyan M.,4
Brady J.,4
Sevastova A.,4
Wozniacki C.,4
Kudermetova V.,4
Hsieh S.W.,4
Muchova K.,4
Suarez Navarro C.,3
Kontaveit A.,3
Flipkens K.,3
Kvitova P.,3
Golubic V.,3
Van Uytvanck A.,3
Rybakina E.,3
Gauff C.,3
Dart H.,3
Yastremska D.,3
Maria T.,3
Mladenovic K.,3
Wang Yaf.,3
Anisimova A.,3
Wang Q.,3
Williams V.,2
Minnen G.,2
Ruse E.G.,2
Stosur S.,2
Tsurenko L.,2
Peterson R.,2
Pliskova Kr.,2
Davis L.,2
Stephens S.,2
Friedsam A.L.,2
Azarenka V.,2
Vikhlyantseva N.,2
Jorovic I.,2
Collins D.,2
Parmentier P.,2
Zidansek T.,2
Linette M.,2
Sabalenka A.,2
Osaka N.,1
Niculescu M.,1
Keys M.,1
Pera B.,1
Rybarikova M.,1
Petkovic A.,1
Potapova A.,1
Lumsden M.,1
Rus A.,1
Rogers S.,1
Puig M.,1
Rodina E.,1
Aiava D.,1
Kanepi K.,1
Haddad Maia B.,1
Paquet C.,1
Sharapova M.,1
Badosa Gibert P.,1
Brengle M.,1
Buzarnescu M.,1
Bonaventure Y.,1
Townsend T.,1
Watson H.,1
Wickmayer Y.,1
Flink V.,1
Badosa P.,1
Gavrilova D.,1
Vondrousova M.,1
Bouzkova M.,1
Sorribes Tormo S.,1
Siniakova K.,1
Siegemund L.,1
Juvan K.,1
Sharma A.,1
Pegula J.,0
Pavlyuchenkova A.,0
Zavatska K.,0
Parry D.,0
Wang Xiy.,0
Zheng S.,0
Wang Xin.,0
Wang X.,0
Zhu L.,0
Waltert S.,0
Peng S.,0
Vandeweghe C.,0
Voegele S.,0
Stollar F.,0
Shinikova I.,0
Schmiedlova A.,0
Sasnovich A.,0
Samsonova L.,0
Smitkova T.,0
Stojanovic N.,0
Paolini J.,0
Vickery S.,0
Swiatek I.,0
Teichmann J.,0
Tig P.M.,0
Tomova V.,0
Trevisan M.,0
Schoofs B.,0
Ahn K.,0
Larsson J.,0
Paar L.I.,0
Boulter K.,0
Cepelova J.,0
Cibulkova D.,0
Cirstea S.,0
Cristian J.,0
Di Giuseppe M.,0
Di Lorenzo F.,0
Diyas Z.,0
Doi M.,0
Duan Y.Y.,0
Errani S.,0
Ferro F.,0
Fett J.,0
Fourlis J.,0
Gatto-Monticone G.,0
Gibbs N.,0
Ce G.,0
Bouchard E.,0
Gracheva V.,0
Bolsova Zadoinov A.,0
Allertova D.,0
Andreescu B.,0
Arn G.,0
Arruabarrena L.,0
Babos T.,0
Bacsinszky T.,0
Baptiste H.,0
Bara I.,0
Barthel M.,0
Begu I.,0
Birrell K.,0
Blinkova A.,0
Bogdan A.,0
Bolkvadze M.,0
Bolsova A.,0
Giorgi C.,0
Han X.,0
Osuigwe W.,0
Kucova K.,0
Kuznetsova S.,0
Lapko V.,0
Lepchenko V.,0
Liu F.,0
Lottner A.,0
Marcinkevica D.,0
Martincova T.,0
Mattek-Sands B.,0
Mchale C.,0
Mcnally C.,0
Minella M.,0
Muguruza G.,0
Nara K.,0
Ormaechea P.,0
Osorio Serrano M.C.,0
Kuzmova V.,0
Krunic A.,0
Hesse A.,0
Krejcikova B.,0
Hibi M.,0
Hibino N.,0
Hives Z.,0
Hon P.,0
Ivakhnenko V.,0
Jakupovic D.,0
Kalinina A.,0
Kalinskaya A.,0
Kasatkina D.,0
Kawa K.,0
Kiick A.,0
Korpatsch T.,0
Kostyuk M.,0
Kovinic D.,0
Kozlova K.,0
Zvonareva V.,0
