,player,pts_won,net_pts,net_efficiency
0,Novak Djokovic,297,404,73.51485148514851
1,Andy Murray,88,126,69.84126984126983
2,David Ferrer,60,87,68.96551724137932
3,Rafael Nadal,122,177,68.92655367231639
4,Tomas Berdych,92,134,68.65671641791045
5,Roger Federer,288,428,67.28971962616822
6,Stan Wawrinka,64,96,66.66666666666666
7,Sergiy Stakhovsky,129,194,66.49484536082474
8,Jo Wilfried Tsonga,60,94,63.829787234042556
9,Juan Martin Del Potro,58,93,62.365591397849464
10,Feliciano Lopez,54,87,62.06896551724138
