,player,pts_won,net_pts,net_efficiency
0,Dominic Thiem,25,30,83.33333333333334
1,Hubert Hurkacz,40,52,76.92307692307693
2,Alex Bolt,22,30,73.33333333333333
3,Ivo Karlovic,83,114,72.80701754385966
4,Roger Federer,58,81,71.60493827160494
5,Milos Raonic,86,122,70.49180327868852
6,Marton Fucsovics,32,46,69.56521739130434
7,Stan Wawrinka,33,49,67.3469387755102
8,Tomas Berdych,22,33,66.66666666666666
9,Alexei Popyrin,19,30,63.33333333333333
