,player,pts_won,net_pts,net_efficiency
0,Anna Kalinskaya,19,24,79.16666666666666
1,Iga Swiatek,15,19,78.94736842105263
2,Donna Vekic,15,20,75.0
3,Barbora Krejcikova,19,26,73.07692307692307
4,Elena Rybakina,43,59,72.88135593220339
5,Bianca Andreescu,24,33,72.72727272727273
6,Madison Keys,16,22,72.72727272727273
7,Jasmine Paolini,86,121,71.07438016528926
8,Lulu Sun,15,22,68.18181818181817
9,Emma Raducanu,10,22,45.45454545454545
