Winner,Hard
Alcaraz C.,5
De Minaur A.,4
Auger-Aliassime F.,4
Rublev A.,4
Bellucci M.,4
Medjedovic H.,4
Kovacevic A.,4
Altmaier D.,4
Humbert U.,4
Medvedev D.,3
Griekspoor T.,3
Hurkacz H.,3
De Jong J.,3
Bergs Z.,3
Martinez P.,2
Bu Y.,2
Tsitsipas S.,2
Struff J.L.,2
Sonego L.,2
Basilashvili N.,2
Zhang Zh.,2
Bublik A.,2
Koepfer D.,1
Rune H.,1
Virtanen O.,1
Vavassori A.,1
Van Assche L.,1
Gasquet R.,1
Grenier H.,1
Herbert P.,1
Cazaux A.,1
Lehecka J.,1
Rinderknech A.,1
Mensik J.,1
Borges N.,1
Fils A.,1
Marozsan F.,1
Lestienne C.,1
Eubanks C.,1
