,player,passed_at_net,net_pts,passing_shot
0,Nick Kyrgios,42,248,16.93548387096774
1,Ivo Karlovic,37,242,15.289256198347106
2,Juan Martin Del Potro,72,532,13.533834586466165
3,Novak Djokovic,54,399,13.533834586466165
4,Karen Khachanov,29,223,13.004484304932735
5,Rafael Nadal,50,423,11.82033096926714
6,Borna Coric,22,207,10.628019323671497
7,Roger Federer,114,1223,9.321340964840557
8,John Isner,31,356,8.707865168539326
9,Marin Cilic,14,207,6.763285024154589
10,Milos Raonic,13,241,5.394190871369295
