Winner,Grass
Mahut N.,10
Berdych T.,9
Roddick A.,9
Baghdatis M.,8
Clement A.,8
Karlovic I.,8
Nadal R.,8
Ljubicic I.,8
Tursunov D.,8
Gasquet R.,7
Federer R.,7
Bjorkman J.,7
Mathieu P.H.,7
Santoro F.,7
Tipsarevic J.,6
Djokovic N.,6
Tsonga J.W.,5
Youzhny M.,5
Nieminen J.,5
Davydenko N.,4
Del Potro J.M.,4
Berrer M.,4
Blake J.,4
Dupuis A.,4
Wessels P.,4
Qureshi A.,4
Gonzalez F.,4
Ferrero J.C.,4
Dancevic F.,3
Udomchoke D.,3
Grosjean S.,3
Kohlschreiber P.,3
Lee H.T.,3
Soderling R.,3
Norman D.,3
Cilic M.,3
Canas G.,3
Robredo T.,3
Mayer F.,3
Mirnyi M.,3
Benneteau J.,3
Becker B.,3
Monfils G.,3
Moodie W.,3
Haas T.,3
Hewitt L.,3
Safin M.,3
Garcia-Lopez G.,2
Kiefer N.,2
Gicquel M.,2
Ginepri R.,2
Verdasco F.,2
Falla A.,2
Serra F.,2
Nalbandian D.,2
Amritraj P.,2
Zverev M.,2
Pavel A.,2
Arthurs W.,2
Bogdanovic A.,2
Roger-Vasselin E.,2
Lopez F.,2
Llodra M.,2
Vliegen K.,2
Simon G.,2
Delic A.,2
Spadea V.,2
Henman T.,2
Seppi A.,2
Hernych J.,1
Allegro Y.,1
Jenkins S.,1
Karanusic R.,1
Kendrick R.,1
Korolev E.,1
Kunitsyn I.,1
Kuznetsov A.,1
Lapentti N.,1
Roitman S.,1
Muller G.,1
Healey N.,1
Guccione A.,1
Capdeville P.,1
Stepanek R.,1
Calleri A.,1
Chela J.I.,1
Devilder N.,1
Dlouhy L.,1
Bolelli S.,1
Vacek J.,1
Eschauer W.,1
Ferrer D.,1
Gabashvili T.,1
Baker J.,1
Berlocq C.,1
Wang Y.T.,1
Haase R.,1
Guccione C.,1
Zib T.,1
Stadler S.,1
Querrey S.,0
Rehnquist B.,0
Recouderc L.,0
Rastogi K.,0
Waske A.,0
Ramirez-Hidalgo R.,0
Wawrinka S.,0
Pashanski B.,0
di Mauro A.,0
Whitehouse W.,0
Petzschner P.,0
Patience O.,0
Prpic F.,0
de Voest R.,0
Portas A.,0
Riba P.,0
Zabaleta M.,0
Pless K.,0
Young D.,0
Phau B.,0
Peya A.,0
Przysiezny M.,0
Sluiter R.,0
Warburg S.,0
Troicki V.,0
Odesnik W.,0
Srichaphan P.,0
Starace P.,0
Sela D.,0
Schukin Y.,0
Stepanek M.,0
Schuettler R.,0
Saulnier C.,0
Saretta F.,0
Summerer T.,0
Sweeting R.,0
Saoudi S.,0
Rochus C.,0
Sanguinetti D.,0
Ulihrach B.,0
Ryderstedt M.,0
Vanek J.,0
Vassallo-Arguello M.,0
Russell M.,0
Vemic D.,0
Ventura S.,0
Smeets R.,0
Volandri F.,0
Rochus O.,0
Acasuso J.,0
Lindahl N.,0
Nishikori K.,0
Gensse A.,0
Eitzinger R.,0
El Aynaoui Y.,0
Fish M.,0
Fleishman Z.,0
Fognini F.,0
Galvani S.,0
Gaudio G.,0
Gil F.,0
Navarro-Pastor I.,0
Gimelstob J.,0
Goldstein P.,0
Golubev A.,0
Granollers M.,0
Gregorc L.,0
Greul S.,0
Gulbis E.,0
Economidis K.,0
De Bakker T.,0
Darcis S.,0
Cipolla F.,0
Almagro N.,0
Alves T.,0
Ancic M.,0
Andreev I.,0
Andujar P.,0
Armando H.,0
Ascione T.,0
Bachinger M.,0
Bastl G.,0
Bozoljac I.,0
Bracciali D.,0
Brands D.,0
Brzezicki J.P.,0
Cakl T.,0
Chiudinelli M.,0
Guzman J.P.,0
Hajek J.,0
Hanescu V.,0
Luzzi F.,0
Mantilla F.,0
Marach O.,0
Martin A.,0
Massu N.,0
Matsui T.,0
Matsukevitch D.,0
Meffert D.,0
Mello R.,0
Melzer J.,0
Minar I.,0
Monaco J.,0
Montanes A.,0
Montcourt M.,0
Moya C.,0
Murray A.,0
Malisse X.,0
Luczak P.,0
Hartfield D.,0
Lu Y.H.,0
Hernandez O.,0
Horna L.,0
Hrbaty D.,0
Isner J.,0
Johansson J.,0
Johansson T.,0
Jones A.,0
Kim K.,0
Klizan M.,0
Koellerer D.,0
Koubek S.,0
Kuerten G.,0
Ledovskikh M.,0
Levine J.,0
Lorenzi P.,0
van Scheppingen D.,0
