,player,passed_at_net,net_pts,passing_shot
0,Diane Parry,6,19,31.57894736842105
1,Zhuoxuan Bai,3,14,21.428571428571427
2,Sloane Stephens,3,16,18.75
3,Elena Rybakina,2,11,18.181818181818183
4,Qinwen Zheng,2,11,18.181818181818183
5,Linda Noskova,3,17,17.647058823529413
6,Anna Blinkova,2,18,11.11111111111111
7,Mirra Andreeva,1,11,9.090909090909092
8,Dayana Yastremska,1,14,7.142857142857142
9,Marta Kostyuk,1,17,5.88235294117647
10,Coco Gauff,1,21,4.761904761904762
11,Iga Swiatek,1,23,4.3478260869565215
