Player,First Serve %,num_matches
John Isner,0.7043799609988197,62
Fernando Verdasco,0.690367087637432,54
Dusan Lajovic,0.6881804161591205,40
Pablo Carreno Busta,0.6768200795024096,63
Rafael Nadal,0.6750658822384672,81
Novak Djokovic,0.6676579747121162,41
Bernard Tomic,0.6670280114146084,30
Thiago Monteiro,0.6547932572918465,37
Mischa Zverev,0.6520097393818772,62
Denis Istomin,0.6519839578128537,35
Guido Pella,0.6511652065598302,35
Ivo Karlovic,0.6507342959920154,35
Juan Martin del Potro,0.6437720074822835,55
Alexander Zverev,0.6433437317700262,79
Horacio Zeballos,0.6409796047935844,42
Nikoloz Basilashvili,0.6407897430983086,52
Kevin Anderson,0.6402258154507707,53
Damir Dzumhur,0.6354724974674478,61
Jeremy Chardy,0.6353464249223746,40
Milos Raonic,0.6331071166459724,43
Nick Kyrgios,0.6329740163801058,51
Gilles Muller,0.6300944453957411,50
Roberto Bautista Agut,0.6298376153195733,70
Gael Monfils,0.6280470161425182,34
Borna Coric,0.6278905449134706,51
Yuichi Sugita,0.6259232246601063,38
Grigor Dimitrov,0.6255919033458001,68
Jiri Vesely,0.6237746469925454,50
Richard Gasquet,0.6236215078679869,47
Kei Nishikori,0.6232523642256832,44
Jordan Thompson,0.6223889234478874,30
Roger Federer,0.6216207832569086,60
Steve Darcis,0.6196176590103242,41
Nicolas Mahut,0.6131820965989865,34
Carlos Berlocq,0.6125694138826321,33
Albert Ramos,0.6124564160146115,65
Jo-Wilfried Tsonga,0.6111544817998104,54
Viktor Troicki,0.6086211875435978,53
Donald Young,0.6085835113341733,47
Diego Schwartzman,0.6083116643027523,67
Pierre Hugues Herbert,0.6065832072527297,30
Mikhail Youzhny,0.6051213482194695,30
Daniil Medvedev,0.6042312646698174,52
Hyeon Chung,0.6021605285981854,45
Steve Johnson,0.6018533058649551,53
Adrian Mannarino,0.5987165385543851,60
Philipp Kohlschreiber,0.59721809529671,53
Jack Sock,0.5967568679095879,61
Feliciano Lopez,0.5949982263767398,49
Aljaz Bedene,0.5934396731403689,37
Andy Murray,0.592932454949489,36
Ryan Harrison,0.5925743162092264,43
Robin Haase,0.5920301429662406,58
David Ferrer,0.5914640513576952,46
Stan Wawrinka,0.5912271899388486,37
Joao Sousa,0.590244698380628,57
Pablo Cuevas,0.5898265174348003,41
Dominic Thiem,0.5880357131287061,75
Fabio Fognini,0.5878527902444386,59
Paolo Lorenzi,0.5855769876237346,60
Marin Cilic,0.5850991383108303,68
Thomaz Bellucci,0.5815651447439338,34
David Goffin,0.5800136393200028,83
Kyle Edmund,0.5799893463409408,60
Rogerio Dutra Silva,0.5799298593097016,31
Tomas Berdych,0.5781996468227586,54
Andrey Rublev,0.5777655952791207,39
Dustin Brown,0.576886499550453,30
Andrey Kuznetsov,0.5736919435142162,36
Sam Querrey,0.5725978639748145,59
Karen Khachanov,0.5673670241842723,57
Andreas Seppi,0.5658039837678903,36
Lucas Pouille,0.5639406676889649,58
Alexandr Dolgopolov,0.5622219824625989,49
Gilles Simon,0.548812547827752,41
Jan Lennard Struff,0.5315725976820218,57
Malek Jaziri,0.5284616329889869,37
Jared Donaldson,0.5274810891020367,47
Benoit Paire,0.5228077939805662,62
Marcos Baghdatis,0.5199808225064211,34
