Player,Break Point Save %,num_matches
John Isner,0.7817846835703978,58
Steve Johnson,0.7313947344182506,51
Roger Federer,0.7139556277056277,61
Milos Raonic,0.7071812596006144,51
Marin Cilic,0.7059695033099289,65
Nick Kyrgios,0.7028190063904349,40
Rafael Nadal,0.7013330272637076,49
Juan Martin del Potro,0.6943274009940676,61
Cameron Norrie,0.6920990812983495,37
Dominic Thiem,0.6908591207686231,75
Marius Copil,0.6906870906870907,40
Novak Djokovic,0.6901813464313464,66
Kyle Edmund,0.6871973516679399,59
Pierre Hugues Herbert,0.68544928072239,45
Jiri Vesely,0.6842030023848206,34
Borna Coric,0.6751888417704744,60
Ryan Harrison,0.6721752721752722,43
Stefanos Tsitsipas,0.671271250117404,73
Lucas Pouille,0.6672147297147297,46
Karen Khachanov,0.6662262095578526,66
Sam Querrey,0.6661798315644469,46
Alex De Minaur,0.6658767736892737,52
Daniil Medvedev,0.6610038907452701,65
Tennys Sandgren,0.6587625581046634,36
Nicolas Jarry,0.6583555333555333,50
Kei Nishikori,0.656184193781308,64
Grigor Dimitrov,0.656029156029156,44
Jack Sock,0.6558125324967431,31
Kevin Anderson,0.6537447175840033,69
Denis Istomin,0.6523413815826432,33
Pablo Cuevas,0.6511500721500721,33
Frances Tiafoe,0.6506756655653715,55
Philipp Kohlschreiber,0.6499817400834147,48
Denis Shapovalov,0.6498211092469466,63
Roberto Bautista Agut,0.6497745086870473,53
Feliciano Lopez,0.649303985488196,43
Pablo Carreno Busta,0.6488628848003848,53
Evgeny Donskoy,0.6463988969406926,36
Andrey Rublev,0.6455205162055007,43
Matteo Berrettini,0.6439483135911708,38
Marton Fucsovics,0.640451213596267,50
Dusan Lajovic,0.6395322770701941,48
Andreas Seppi,0.6391693672181477,47
John Millman,0.6351437055008484,38
Mikhail Kukushkin,0.6341647022568075,43
Stan Wawrinka,0.6337478415485934,34
Malek Jaziri,0.6324481953441229,44
Mirza Basic,0.6316627321091607,33
Taylor Fritz,0.6277563604486681,43
Jan Lennard Struff,0.6261999531217446,48
Hyeon Chung,0.6253831142470423,47
Fernando Verdasco,0.6243698994749415,61
Nikoloz Basilashvili,0.6214765263784872,57
Mischa Zverev,0.6214387959040365,48
Aljaz Bedene,0.6201906403587076,38
Filip Krajinovic,0.61744708994709,31
Maximilian Marterer,0.6161184450470164,41
Alexander Zverev,0.6141098525732712,79
Peter Gojowczyk,0.6133027382310022,48
Robin Haase,0.6129972424090071,55
Jeremy Chardy,0.6078244771101914,47
Roberto Carballes Baena,0.601451418951419,31
Leonardo Mayer,0.6004787218201852,47
Albert Ramos,0.5993040056869844,49
Matthew Ebden,0.5989062897886427,41
Adrian Mannarino,0.598583340278842,56
Taro Daniel,0.5963110122201032,35
Gael Monfils,0.5962578512690495,50
Gilles Simon,0.5955015572662632,57
David Goffin,0.5953105624534196,46
Jared Donaldson,0.5949469334084718,33
Diego Schwartzman,0.5914287667065445,59
Marco Cecchinato,0.5910284086086225,46
Radu Albot,0.5909554446778711,35
Guido Pella,0.587542939608021,47
Fabio Fognini,0.5863765775670537,70
Guillermo Garcia Lopez,0.5850008379420144,39
Benoit Paire,0.5809507742033694,55
Richard Gasquet,0.576268256220237,59
Yuichi Sugita,0.5671105775944486,32
Damir Dzumhur,0.562348568098568,56
Joao Sousa,0.5345677470677471,53
