Player,Ace Rate,num_matches
Milos Raonic,0.24454104129409973,51
John Isner,0.2364367262230056,58
Nick Kyrgios,0.2200138748120697,40
Kevin Anderson,0.19607966896566392,69
Sam Querrey,0.1777811877982678,46
Marius Copil,0.16009288793421633,40
Feliciano Lopez,0.15579728851615768,43
Karen Khachanov,0.1244928414969217,66
Jan Lennard Struff,0.1240164622304989,48
Roger Federer,0.12306218491735593,61
Marin Cilic,0.12276086910835189,65
Juan Martin del Potro,0.1212782453480925,61
Jeremy Chardy,0.11438331410034439,47
Tennys Sandgren,0.11176815616285679,36
Taylor Fritz,0.1102727460928052,43
Ryan Harrison,0.10722616345938403,43
Benoit Paire,0.10716417565162117,55
Nicolas Jarry,0.10486792335049928,50
Gael Monfils,0.10360276346642294,50
Alexander Zverev,0.10353961673965768,79
Jiri Vesely,0.10230649035788268,34
Matteo Berrettini,0.10031884857371802,38
Frances Tiafoe,0.09883951229660673,55
Daniil Medvedev,0.09783104053817271,65
Lucas Pouille,0.09779733542844102,46
Aljaz Bedene,0.09628994444936155,38
Pierre Hugues Herbert,0.09569760883303025,45
Steve Johnson,0.09496467597243564,51
Matthew Ebden,0.09441115449382731,41
Peter Gojowczyk,0.09398422763045047,48
Denis Shapovalov,0.09324447971260072,63
Stan Wawrinka,0.09321777980172495,34
Dominic Thiem,0.09090349137138845,75
Kyle Edmund,0.08931083020680904,59
Borna Coric,0.0891239254434756,60
Fernando Verdasco,0.08712797516521867,61
Stefanos Tsitsipas,0.08692379611457463,73
Leonardo Mayer,0.08671620615383122,47
Robin Haase,0.08461061775798341,55
Grigor Dimitrov,0.08375087057141965,44
Richard Gasquet,0.08266956530579436,59
Guido Pella,0.08045707096661472,47
Mirza Basic,0.08031018139993794,33
Maximilian Marterer,0.07824691963878184,41
Andrey Rublev,0.07730869293970814,43
Denis Istomin,0.07683379713729742,33
Pablo Cuevas,0.07585257789299142,33
Jack Sock,0.0757991740627741,31
Mischa Zverev,0.07557292136044046,48
Jared Donaldson,0.07339593769696763,33
Novak Djokovic,0.07259125245598921,66
David Goffin,0.07021591058263014,46
Andreas Seppi,0.06738367078007337,47
Marco Cecchinato,0.06499655521073046,46
Alex De Minaur,0.06418867181471133,52
Philipp Kohlschreiber,0.06385521097785338,48
Adrian Mannarino,0.06284461589273929,56
Gilles Simon,0.06266265008631032,57
Filip Krajinovic,0.06083608401122786,31
Marton Fucsovics,0.05960367846999342,50
John Millman,0.05920912835889791,38
Yuichi Sugita,0.057795474677452496,32
Cameron Norrie,0.057442843598699826,37
Dusan Lajovic,0.05650549348927846,48
Nikoloz Basilashvili,0.055072532580714,57
Evgeny Donskoy,0.05472770083065704,36
Hyeon Chung,0.054500481452568375,47
Joao Sousa,0.053922427147937796,53
Pablo Carreno Busta,0.052913170136864675,53
Kei Nishikori,0.0520542463295289,64
Albert Ramos,0.051466439080833586,49
Malek Jaziri,0.050950134645136896,44
Taro Daniel,0.050246307454714055,35
Fabio Fognini,0.04905190498431702,70
Guillermo Garcia Lopez,0.04904038058296648,39
Roberto Bautista Agut,0.044337877228762326,53
Diego Schwartzman,0.04308047661812624,59
Rafael Nadal,0.04163330815593428,49
Damir Dzumhur,0.04136361929175359,56
Radu Albot,0.036437696977877396,35
Roberto Carballes Baena,0.03610971308575911,31
Mikhail Kukushkin,0.03351344930188238,43
