Player,Second Serve Win %,num_matches
Roger Federer,0.6059085115418453,97
Rafael Nadal,0.57411219663019,72
Paradorn Srichaphan,0.5636840679905984,63
Andy Roddick,0.5596442092415078,70
Olivier Rochus,0.5508662229458401,53
David Nalbandian,0.5504477509757119,63
Radek Stepanek,0.5491896313656462,45
Nikolay Davydenko,0.5482672500582778,99
Jose Acasuso,0.5481444252076986,54
Tommy Haas,0.5449027012904887,70
Nicolas Almagro,0.5447030174308481,47
Marat Safin,0.539144301101592,61
Mardy Fish,0.5387774737071893,41
Richard Gasquet,0.5384403497575675,56
Luis Horna,0.5367744995151893,41
Arnaud Clement,0.5361019687721605,49
Mario Ancic,0.5345373214755446,73
Nicolas Massu,0.5342722671072724,65
Robin Soderling,0.5336669095008102,58
James Blake,0.532938690755299,85
Tommy Robredo,0.5329228818328147,78
Novak Djokovic,0.5309859212786698,58
Ivan Ljubicic,0.5299430632462899,81
Paul Henri Mathieu,0.5289055611595689,51
Hyung Taik Lee,0.527701991146553,39
Rainer Schuettler,0.5274255319138155,33
Juan Ignacio Chela,0.5265814264726695,57
Jarkko Nieminen,0.526460318349598,82
Lleyton Hewitt,0.5257674590293502,48
Juan Carlos Ferrero,0.5234927858480115,51
Jurgen Melzer,0.5232447285736137,60
Fernando Gonzalez,0.5230522766434706,72
Robby Ginepri,0.5222187792267453,50
Juan Monaco,0.5219436224861426,41
Tomas Berdych,0.5215305091170995,72
Kristof Vliegen,0.5203761557423953,55
Max Mirnyi,0.5199580857279007,47
Philipp Kohlschreiber,0.5186166999853928,45
Tim Henman,0.518548729788879,51
Xavier Malisse,0.5154118217646201,55
Filippo Volandri,0.5142609030406667,61
Jan Hernych,0.5135499742433578,38
Florian Mayer,0.5120787884319373,47
Daniele Bracciali,0.51202226788282,42
Mikhail Youzhny,0.5118039314663917,47
Dmitry Tursunov,0.5087630975733987,77
Stan Wawrinka,0.5087238789596124,57
Bjorn Phau,0.5084313280165296,42
Andrei Pavel,0.5069226444319761,37
Carlos Moya,0.5060884099793849,52
Gilles Simon,0.5052917427989515,48
Marcos Baghdatis,0.5050896786366612,57
Agustin Calleri,0.5037670777632594,51
David Ferrer,0.5035932164901644,67
Florent Serra,0.5035693447612365,49
Vincent Spadea,0.5029246554689156,45
Ivo Karlovic,0.5025833573918423,36
Sebastien Grosjean,0.5022469723754133,48
Kenneth Carlsen,0.5020658621294789,33
Fernando Verdasco,0.49793262616011136,58
Potito Starace,0.49788199597419086,30
Wesley Moodie,0.497513464723356,32
Alberto Martin,0.4971184341794828,40
Andy Murray,0.4968603414811771,65
Gael Monfils,0.4950135129994984,39
Janko Tipsarevic,0.4926869464682657,30
Gaston Gaudio,0.4908536813377473,48
Fabrice Santoro,0.489236916854066,42
Gilles Muller,0.48874256865644095,33
Paul Goldstein,0.4881262991653521,37
Andreas Seppi,0.48721834896838834,50
Nicolas Mahut,0.483847888571448,30
Julien Benneteau,0.48377554959985736,46
Feliciano Lopez,0.4830966277734834,48
Davide Sanguinetti,0.4826409988891667,36
Guillermo Garcia Lopez,0.4812389126561594,35
Dominik Hrbaty,0.48026991349057857,60
Jonas Bjorkman,0.47872002312354917,32
Justin Gimelstob,0.4777234677551747,34
Lukas Dlouhy,0.46966488302746773,30
Ruben Ramirez Hidalgo,0.4674049104294928,45
Boris Pashanski,0.454683059603046,33
Robin Vik,0.4302534655568343,39
Christophe Rochus,0.42061387763202907,41
