Player,Second Serve Win %,num_matches
Roger Federer,0.5988877391456965,76
Rafael Nadal,0.584595938121309,85
Juan Martin del Potro,0.5733419889251609,68
Novak Djokovic,0.5716957051978465,79
David Ferrer,0.5684418785039057,78
Juan Carlos Ferrero,0.5675585252796351,31
Andy Roddick,0.5652887715449811,50
Janko Tipsarevic,0.5629730736141753,81
Kevin Anderson,0.5576859476999335,69
John Isner,0.5563018477325598,57
Tommy Robredo,0.5542923973879377,34
Mardy Fish,0.5541157079927947,68
Milos Raonic,0.547265329262217,51
Marin Cilic,0.5469438183759587,67
Tomas Berdych,0.5440863982519708,77
Robin Soderling,0.5434747981398018,47
Nicolas Almagro,0.5386076981756549,70
Stan Wawrinka,0.5383534497623264,56
Philipp Kohlschreiber,0.5379006981287288,58
Feliciano Lopez,0.5374982639285305,62
Florian Mayer,0.5322709661133705,71
Donald Young,0.5279042162352742,36
Richard Gasquet,0.5278264615589098,55
Mikhail Youzhny,0.5276796445676998,51
Jarkko Nieminen,0.5271526135543564,48
Somdev Devvarman,0.5269456833302032,44
David Nalbandian,0.5267869335525771,35
Jo-Wilfried Tsonga,0.5263387707587618,81
Juan Monaco,0.5255088498382393,59
Philipp Petzschner,0.525105189849315,46
Kei Nishikori,0.5244354405297756,58
Ivan Ljubicic,0.5225379099426953,44
Potito Starace,0.5221691867851922,50
Andy Murray,0.5187389386943184,71
Gilles Simon,0.5174037983832755,66
Radek Stepanek,0.5166324508130812,55
Xavier Malisse,0.5156718872350771,50
Santiago Giraldo,0.5143508809561659,58
Alexandr Dolgopolov,0.5131737057763744,67
Fernando Verdasco,0.5127422886004029,60
Juan Ignacio Chela,0.5108221694162521,53
Marcos Baghdatis,0.5102802249977667,55
Alex Bogomolov Jr,0.5100100832314749,48
Michael Llodra,0.5098573028234409,39
Jurgen Melzer,0.5094819154737933,45
Gael Monfils,0.5093859045792066,55
Tobias Kamke,0.5093390616538184,38
Julien Benneteau,0.508305434430587,42
Grigor Dimitrov,0.5050691092846181,43
Andreas Seppi,0.5048415924279672,49
Igor Andreev,0.504484278040425,45
Sergiy Stakhovsky,0.5032605190384786,52
Robin Haase,0.5016369868794607,53
Igor Kunitsyn,0.5008100615884635,37
Victor Hanescu,0.5006879259663453,41
Bernard Tomic,0.5005609179910867,31
Mikhail Kukushkin,0.4996398207474992,34
Thomaz Bellucci,0.4991548928044224,50
Marcel Granollers,0.49874276669020506,52
Ivo Karlovic,0.4982814250448503,37
Teymuraz Gabashvili,0.49827960535149407,30
Dmitry Tursunov,0.49767343571123285,38
Ryan Harrison,0.49718788685763193,33
Denis Istomin,0.4963239438390828,34
Adrian Mannarino,0.4953118360376795,40
Ivan Dodig,0.4952255572541084,51
Yen Hsun Lu,0.49415081145808054,33
Pablo Andujar,0.49325287487404834,53
Michael Berrer,0.48866519812220305,39
Albert Montanes,0.4861809627354818,47
Carlos Berlocq,0.4842984631173746,38
Filippo Volandri,0.48115486295637705,32
Blaz Kavcic,0.4803771200474765,32
Ryan Sweeting,0.4798641311052284,33
Andrey Golubev,0.4781932577765252,32
Viktor Troicki,0.47706770867976517,66
Nikolay Davydenko,0.47648555640891316,51
Guillermo Garcia Lopez,0.4763261557314557,49
Ernests Gulbis,0.47485598911293725,40
James Blake,0.47383387974103114,35
Michael Russell,0.4701829689762787,30
Pere Riba,0.4642686604639925,33
Lukasz Kubot,0.46393158947332513,34
Daniel Gimeno Traver,0.4622531735044858,34
Fabio Fognini,0.4533511892742351,53
