,player,pts_won,net_pts,net_efficiency
0,Ivan Lendl,127,160,79.375
1,Michael Chang,134,197,68.02030456852792
2,Jim Courier,21,31,67.74193548387096
3,Boris Becker,140,225,62.22222222222222
4,Andre Agassi,60,98,61.224489795918366
5,Aaron Krickstein,17,28,60.71428571428571
6,Andrei Chesnokov,59,102,57.84313725490197
7,Stefan Edberg,166,303,54.78547854785478
8,Tim Mayotte,21,41,51.21951219512195
9,John Mcenroe,51,108,47.22222222222222
