Winner,Clay
Swiatek I.,7
Paolini J.,6
Andreeva M.,5
Gauff C.,5
Sabalenka A.,4
Rybakina E.,4
Vondrousova M.,4
Jabeur O.,4
Svitolina E.,3
Potapova A.,3
Avanesyan E.,3
Cocciaretto E.,3
Danilovic O.,3
Tauson C.,3
Gracheva V.,3
Navarro E.,3
Mertens E.,2
Stearns P.,2
Keys M.,2
Kenin S.,2
Andreescu B.,2
Vekic D.,2
Samsonova L.,2
Paquet C.,2
Wang Xin.,2
Bouzkova M.,2
Bogdan A.,2
Begu I.,2
Badosa P.,2
Yastremska D.,2
Zheng Q.,2
Fernandez L.A.,2
Rus A.,1
Tomova V.,1
Sherif M.,1
Siniakova K.,1
Uchijima M.,1
Volynets K.,1
Wang Xiy.,1
Wang Y.,1
Putintseva Y.,1
Noskova L.,1
Pera B.,1
Pavlyuchenkova A.,1
Anisimova A.,1
Azarenka V.,1
Baptiste H.,1
Blinkova A.,1
Bucsa C.,1
Collins D.,1
Errani S.,1
Fett J.,1
Garcia C.,1
Golubic V.,1
Kalinskaya A.,1
Kasatkina D.,1
Korpatsch T.,1
Kostyuk M.,1
Martic P.,1
Osaka N.,1
Osorio M.,1
Ostapenko J.,1
Parry D.,1
Zidansek T.,1
