Winner,Clay
Swiatek I.,6
Sabalenka A.,5
Andreeva M.,4
Rybakina E.,4
Keys M.,4
Putintseva Y.,4
Haddad Maia B.,3
Bejlek S.,3
Sorribes Tormo S.,3
Jabeur O.,3
Paolini J.,2
Krueger A.,2
Kasatkina D.,2
Sakkari M.,2
Gauff C.,2
Ostapenko J.,2
Sherif M.,2
Dolehide C.,2
Cristian J.,2
Collins D.,2
Stephens S.,2
Carle M.,2
Montgomery R.,2
Wang Xiy.,1
Rogers S.,1
Rus A.,1
Vekic D.,1
Wang Xin.,1
Vondrousova M.,1
Samsonova L.,1
Potapova A.,1
Schmiedlova A.,1
Saville D.,1
Maria T.,1
Podoroska N.,1
Eala A.,1
Azarenka V.,1
Begu I.,1
Bouzas Maneiro J.,1
Bronzetti L.,1
Bucsa C.,1
Cirstea S.,1
Danilovic O.,1
Errani S.,1
Pavlyuchenkova A.,1
Fernandez L.A.,1
Garcia C.,1
Jimenez Kasintseva V.,1
Linette M.,1
Arango E.,1
Navarro E.,1
Osaka N.,1
Yastremska D.,1
