Winner,Hard
Sabalenka A.,7
Zheng Q.,6
Yastremska D.,5
Gauff C.,5
Noskova L.,4
Krejcikova B.,4
Kostyuk M.,4
Kalinskaya A.,4
Frech M.,3
Timofeeva M.,3
Svitolina E.,3
Paolini J.,3
Anisimova A.,3
Andreeva M.,3
Dodin O.,3
Azarenka V.,3
Ostapenko J.,2
Navarro E.,2
Stephens S.,2
Badosa P.,2
Swiatek I.,2
Parks A.,2
Parry D.,2
Burel C.,2
Tsurenko L.,2
Wang Y.,2
Blinkova A.,2
Hunter S.,2
Haddad Maia B.,2
Avanesyan E.,2
Golubic V.,2
Zakharova A.,2
Siegemund L.,1
Siniakova K.,1
Sakkari M.,1
Fruhvirtova B.,1
Tauson C.,1
Rus A.,1
Tomljanovic A.,1
Tomova V.,1
Trevisan M.,1
Wozniacki C.,1
Rybakina E.,1
Pavlyuchenkova A.,1
Rakhimova K.,1
Raducanu E.,1
Fernandez L.A.,1
Gracheva V.,1
Jabeur O.,1
Juvan K.,1
Dolehide C.,1
Kasatkina D.,1
Kessler M.,1
Korneeva A.,1
Korpatsch T.,1
Collins D.,1
Maria T.,1
Masarova R.,1
Cocciaretto E.,1
Boulter K.,1
Garcia C.,1
Pegula J.,1
Podoroska N.,1
Mertens E.,1
