Winner,Hard
Dimitrov G.,7
Sinner J.,7
Medvedev D.,6
Lehecka J.,6
Rune H.,5
Draper J.,5
Zverev A.,5
Tabilo A.,5
Thompson J.,5
Djokovic N.,5
Rublev A.,4
Norrie C.,4
Shelton B.,4
Korda S.,4
Kecmanovic M.,4
Hurkacz H.,4
Fritz T.,4
Fils A.,4
Alcaraz C.,4
Borges N.,4
Arnaldi M.,4
Daniel T.,4
Cazaux A.,3
Marozsan F.,3
Humbert U.,3
Safiullin R.,3
Altmaier D.,3
Machac T.,3
Mannarino A.,3
Tsitsipas S.,3
Van Assche L.,3
O Connell C.,3
De Minaur A.,3
Bublik A.,3
Paul T.,3
Khachanov K.,3
Michelsen A.,2
Duckworth J.,2
Etcheverry T.,2
Muller A.,2
Ruud C.,2
Nadal R.,2
Carballes Baena R.,2
Musetti L.,2
Shevchenko A.,2
Shang J.,2
Klein L.,2
Griekspoor T.,2
Auger-Aliassime F.,2
Hijikata R.,2
Sonego L.,2
Popyrin A.,2
Baez S.,2
Cobolli F.,2
Purcell M.,2
Bolt A.,1
Ruusuvuori E.,1
Tiafoe F.,1
Van De Zandschulp B.,1
Zeppieri G.,1
Zhang Zh.,1
Struff J.L.,1
Monfils G.,1
Ofner S.,1
Nagal S.,1
Eubanks C.,1
Evans D.,1
De Jong J.,1
Galan D.E.,1
Gaston H.,1
Grenier H.,1
Halys Q.,1
Hanfmann Y.,1
Davidovich Fokina A.,1
Jarry N.,1
Kokkinakis T.,1
Kotov P.,1
Kubler J.,1
Lajovic D.,1
Cerundolo F.,1
Mensik J.,1
Munar J.,1
Kovacevic A.,1
