Winner,Grass
Muguruza G.,7
Williams V.,6
Rybarikova M.,5
Konta J.,5
Halep S.,4
Ostapenko J.,4
Kuznetsova S.,4
Vandeweghe C.,4
Wozniacki C.,3
Radwanska A.,3
Martic P.,3
Svitolina E.,3
Kerber A.,3
Konjuh A.,3
Azarenka V.,3
Garcia C.,3
Riske A.,2
Cirstea S.,2
Sakkari M.,2
Witthoeft C.,2
Brengle M.,2
Peng S.,2
Bacsinszky T.,2
Cibulkova D.,2
Tsurenko L.,2
Kontaveit A.,2
Diyas Z.,2
Rogers S.,2
Watson H.,2
Hercog P.,2
Giorgi C.,2
Osaka N.,2
Wickmayer Y.,1
Sabalenka A.,1
Wang Q.,1
Safarova L.,1
Schiavone F.,1
Sevastova A.,1
Vesnina E.,1
Suarez Navarro C.,1
Rodionova Ar.,1
Vekic D.,1
Strycova B.,1
Abanda F.,1
Pliskova Kr.,1
Pliskova Ka.,1
Begu I.,1
Bogdan A.,1
Brady J.,1
Flipkens K.,1
Golubic V.,1
Haddad Maia B.,1
Kasatkina D.,1
Keys M.,1
Kucova K.,1
Kvitova P.,1
Lepchenko V.,1
Makarova E.,1
Maria T.,1
Mattek-Sands B.,1
Allertova D.,1
Mladenovic K.,1
Pironkova T.,1
Mchale C.,1
