,player,passed_at_net,net_pts,passing_shot
0,Mats Wilander,63,340,18.529411764705884
1,Wally Masur,19,119,15.966386554621847
2,Boris Becker,51,375,13.600000000000001
3,Slobodan Zivojinovic,15,112,13.392857142857142
4,John Mcenroe,53,432,12.268518518518519
5,Peter Doohan,13,127,10.236220472440944
6,Dan Goldie,11,110,10.0
7,Ivan Lendl,62,626,9.904153354632587
8,Stefan Edberg,107,1242,8.61513687600644
9,Pat Cash,40,492,8.130081300813007
