,player,passed_at_net,net_pts,passing_shot
0,Takao Suzuki,23,99,23.232323232323232
1,Andy Roddick,53,272,19.485294117647058
2,Guillermo Coria,31,171,18.128654970760234
3,Ivan Ljubicic,30,175,17.142857142857142
4,Rafael Nadal,45,274,16.423357664233578
5,Andre Agassi,18,135,13.333333333333334
6,Lleyton Hewitt,49,410,11.951219512195122
7,Roger Federer,111,1035,10.72463768115942
8,Marat Safin,17,182,9.340659340659341
9,Gilles Muller,10,119,8.403361344537815
