,player,passed_at_net,net_pts,passing_shot
0,Elina Svitolina,14,55,25.454545454545453
1,Anastasia Pavlyuchenkova,6,39,15.384615384615385
2,Eugenie Bouchard,6,39,15.384615384615385
3,Ashleigh Barty,8,62,12.903225806451612
4,Roberta Vinci,6,49,12.244897959183673
5,Caroline Wozniacki,7,59,11.864406779661017
6,Garbine Muguruza,11,113,9.734513274336283
7,Aryna Sabalenka,6,65,9.230769230769232
8,Venus Williams,8,101,7.920792079207921
9,Jelena Ostapenko,3,39,7.6923076923076925
10,Madison Keys,3,50,6.0
11,Julia Goerges,4,80,5.0
